"title", price, sold, url
  AVAILABLE STATS for Brand: Five dancewear   Items Scanned: 92   Value (Without sponsored): $11898.00 
  SOLD STATS for Brand: Five dancewear   Items Scanned: 633   Value (Without sponsored): $20349.00 
  TOTAL VALUE OF AVAILABLE AND SOLD ITEMS: $32247.0
"5 dance wear shorts", $24, Available, https://poshmark.com/listing/5-dance-wear-shorts-5ee69981ffba94f2a05e223e
"Five Dancewear Bali Bra White Smoke Medium Adult", $25, Available, https://poshmark.com/listing/Five-Dancewear-Bali-Bra-White-Smoke-Medium-Adult-5ee324e9ff830430cd9b3a42
"Five Dancewear Small Adult Bomb Jacket Black", $25, Available, https://poshmark.com/listing/Five-Dancewear-Small-Adult-Bomb-Jacket-Black-5ee31f31045e39ddcf798fa1
"Five Dancewear Motion Pant Large Adult.", $55, Available, https://poshmark.com/listing/Five-Dancewear-Motion-Pant-Large-Adult-5ee31eae275e55eb2001aec6
"Five Dancewear Moxie Suit Large Adult", $75, Available, https://poshmark.com/listing/Five-Dancewear-Moxie-Suit-Large-Adult-5ee31e0dae766f1f73e9f2df
"Five Dancewear Nikita Bra Medium Adult.", $38, Available, https://poshmark.com/listing/Five-Dancewear-Nikita-Bra-Medium-Adult-5ee31d839c3378077278ebc9
"Five Dancewear Merci Leo Large Adult", $56, Available, https://poshmark.com/listing/Five-Dancewear-Merci-Leo-Large-Adult-5ee31c4d3a0db9f12c76c33c
"Five Dancewear Power Suit Large Adult", $46, Available, https://poshmark.com/listing/Five-Dancewear-Power-Suit-Large-Adult-5ee31bca9e15591f07c4d7ef
"Five Dancewear Boss Bra Ribbed Medium Adult.", $26, Available, https://poshmark.com/listing/Five-Dancewear-Boss-Bra-Ribbed-Medium-Adult-5ee31b23bcdb2f59a888510f
"Five Dancewear mirage dance Leo leotard PA", $65, Available, https://poshmark.com/listing/Five-Dancewear-mirage-dance-Leo-leotard-PA-5ee2ce767ec30cd7fa2382c0
"Five dancewear red dance Leo leotard PA", $60, Available, https://poshmark.com/listing/Five-dancewear-red-dance-Leo-leotard-PA-5ee2c96c3cda88593946a365
"Five Dancewear dance leo leotard blue PA", $60, Available, https://poshmark.com/listing/Five-Dancewear-dance-leo-leotard-blue-PA-5ee2c6f8463d4fc1db6cf0b5
"five dancewear black mesh crop top", $24, Available, https://poshmark.com/listing/five-dancewear-black-mesh-crop-top-5ee28c368da5c9747efde949
"Five Dancewear Trio Leo", $35, Available, https://poshmark.com/listing/Five-Dancewear-Trio-Leo-5ee233093cda88c726421675
"Five Dancewear Move It Pants", $50, Available, https://poshmark.com/listing/Five-Dancewear-Move-It-Pants-5ee030658da5c978983d1c7a
"Five Dancewear Manhattan Leo", $65, Available, https://poshmark.com/listing/Five-Dancewear-Manhattan-Leo-5ee02f4a2ca9abba230efae6
"Five dancewear leotard youth large", $45, Available, https://poshmark.com/listing/Five-dancewear-leotard-youth-large-5ee029c943895fcd1ccba55c
"Five Dancewear, Illusion Leo", $65, Available, https://poshmark.com/listing/Five-Dancewear-Illusion-Leo-5ee019e0045e391c3f0e103f
"grey five dancewear legging", $31, Available, https://poshmark.com/listing/grey-five-dancewear-legging-5edfebed446e596df5b6c9b3
"Five Dancewear Leo", $40, Available, https://poshmark.com/listing/Five-Dancewear-Leo-5edeb27bac9702f3a48c59d8
"Five Dancewear dance Leo", $50, Available, https://poshmark.com/listing/Five-Dancewear-dance-Leo-5edc78128da5c969ebaf51a1
"Five Dancewear Leo leotard red Paris Large adult", $50, Available, https://poshmark.com/listing/Five-Dancewear-Leo-leotard-red-Paris-Large-adult-5edc7312ac97025a7d7ed040
"FIVE DANCEWEAR Jade Leotard Sz MA", $45, Available, https://poshmark.com/listing/FIVE-DANCEWEAR-Jade-Leotard-Sz-MA-5edae67c691412b1b7abb50d
"Five Dancewear Reverie Leo", $45, Available, https://poshmark.com/listing/Five-Dancewear-Reverie-Leo-5ed925006e2846dca62e05f5
"Five Dancewear Leotard", $49, Available, https://poshmark.com/listing/Five-Dancewear-Leotard-5ed918fb275e55720f3fc6e6
"Five Dancewear Leotard", $51, Available, https://poshmark.com/listing/Five-Dancewear-Leotard-5ed9174743895f18e61b8ab5
"5 Dancewear five velvet purple Leo leotard AL", $75, Available, https://poshmark.com/listing/5-Dancewear-five-velvet-purple-Leo-leotard-AL-5ed877b260fdedb753b63469
"Green patterned dance leotard from Five dancewear", $50, Available, https://poshmark.com/listing/Green-patterned-dance-leotard-from-Five-dancewear-5ed828f57f80d2ad43fc2175
"Blue mesh dance leotard from Five dancewear", $40, Available, https://poshmark.com/listing/Blue-mesh-dance-leotard-from-Five-dancewear-5ed828662ca9abe363ef969f
"Maroon Five dance wear leotard", $40, Available, https://poshmark.com/listing/Maroon-Five-dance-wear-leotard-5ed826de81a36cc0c8d35f30
"Alger designs custom leotard", $35, Available, https://poshmark.com/listing/Alger-designs-custom-leotard-5ed6874b3a0db980079ab74a
"Five Dancewear Jete Luxe Limited Edition Leotard", $65, Available, https://poshmark.com/listing/Five-Dancewear-Jete-Luxe-Limited-Edition-Leotard-5ed59cb1e2c432d563a48a33
"Five Dancewear Red Leotard", $40, Available, https://poshmark.com/listing/Five-Dancewear-Red-Leotard-5ed531e643895f6336348b47
"Five Dancewear Burgundy Leotard", $45, Available, https://poshmark.com/listing/Five-Dancewear-Burgundy-Leotard-5ed43576c693bd2a52713f75
"Five dancewear jete leotard black medium adult", $90, Available, https://poshmark.com/listing/Five-dancewear-jete-leotard-black-medium-adult-5ed3ce8c3cda88b84446499c
"Five Dancewear Leotard", $60, Available, https://poshmark.com/listing/Five-Dancewear-Leotard-5ed08eaeefd0e4bde4cefee7
"Five Dancewear Olive Green Leotard", $55, Available, https://poshmark.com/listing/Five-Dancewear-Olive-Green-Leotard-5ed044738da5c9730fe93b2d
"Five dancewear leotard", $40, Available, https://poshmark.com/listing/Five-dancewear-leotard-5eca834cff83046c268d886f
"Five Dance Wear Leo", $40, Available, https://poshmark.com/listing/Five-Dance-Wear-Leo-5ec7fd293a0db938c999d32b
"Girls Custom Royal Blue Jazz/Latin Dance Costume", $65, Available, https://poshmark.com/listing/Girls-Custom-Royal-Blue-JazzLatin-Dance-Costume-5ec344693cda88953c7023f0
"Custom Girls Bling Black Jazz/Latin Dance Costume", $75, Available, https://poshmark.com/listing/Custom-Girls-Bling-Black-JazzLatin-Dance-Costume-5ec31aea4fd23ae902ff6a67
"Natalie Dancewear Double Platinum Metallic Leotard", $14, Available, https://poshmark.com/listing/Natalie-Dancewear-Double-Platinum-Metallic-Leotard-5ec105bd800f64e126fb33d3
"Weissman Mesh Inset Sequin Dress Dancewear", $169, Available, https://poshmark.com/listing/Weissman-Mesh-Inset-Sequin-Dress-Dancewear-5ec100908da5c9a98eb09c4d
"Move Helena Mesh Dress Dancewear", $22, Available, https://poshmark.com/listing/Move-Helena-Mesh-Dress-Dancewear-5ec0f7a7074d2436f6b58b00
"a black workout shirt", $26, Available, https://poshmark.com/listing/a-black-workout-shirt-5ebdb81e12d88032c153d534
"Five Dancewear", $45, Available, https://poshmark.com/listing/Five-Dancewear-5ebd9959275e5564d75e5b58
"Five Dancewear Leo", $20, Available, https://poshmark.com/listing/Five-Dancewear-Leo-5eb37e3d180136d0c37af99d
"DANCEWEAR MYSTERY BOX", $30, Available, https://poshmark.com/listing/DANCEWEAR-MYSTERY-BOX-5eb23b9a9207860ca3de2a15
"Five Dancewear leo", $60, Available, https://poshmark.com/listing/Five-Dancewear-leo-5eaf16632f3d19a02cd1eea4
"black geo dance leotard", $42, Available, https://poshmark.com/listing/black-geo-dance-leotard-5ea8fc7fff830488fdfd5888
"Short Sleeve Leotard", $8, Available, https://poshmark.com/listing/Short-Sleeve-Leotard-5ea71eac691412a9631dda16
"Long sleeve leotard", $8, Available, https://poshmark.com/listing/Long-sleeve-leotard-5ea71de781a36c8fcd78f74f
"Low back Leotard", $8, Available, https://poshmark.com/listing/Low-back-Leotard-5ea71a2e7f80d2cd13f80964
"Nude Leotard", $8, Available, https://poshmark.com/listing/Nude-Leotard-5ea718ac2a1eff9b43b3bc2d
"Five DanceWear Baree Leotard- Size PA/XS", $40, Available, https://poshmark.com/listing/Five-DanceWear-Baree-Leotard-Size-PAXS-5ea22038633cfc2c5cd266f0
"Five Dancewear Infinity Bra", $30, Available, https://poshmark.com/listing/Five-Dancewear-Infinity-Bra-5e9e3c9de97e4881fcca6dd2
"Five Dancewear Boss Bra", $30, Available, https://poshmark.com/listing/Five-Dancewear-Boss-Bra-5e9e3b88c693bdb710dae96a
"Five Dancewear Leo Size PA", $60, Available, https://poshmark.com/listing/Five-Dancewear-Leo-Size-PA-5e98c99d3bad6d805a93f1bb
"Five Dancewear Leo Marion", $40, Available, https://poshmark.com/listing/Five-Dancewear-Leo-Marion-5e923f91e1316406a9c50d6e
"EVERYTHING MUST GO", $3, Available, https://poshmark.com/listing/EVERYTHING-MUST-GO-5e8fcaaaae766f6f150b475f
"Five Dancewear Bodysuit !! Never Worn!! Size S!", $12, Available, https://poshmark.com/listing/Five-Dancewear-Bodysuit-Never-Worn-Size-S-5e8e58b32ca9abcb50cbb197
"Five dancewear riviera leo", $60, Available, https://poshmark.com/listing/Five-dancewear-riviera-leo-5e8778757ec30cc635e24ea5
"Five Dancewear Commit Top", $28, Available, https://poshmark.com/listing/Five-Dancewear-Commit-Top-5e7bfeb7ff8304142c17b662
"Five Dancewear Momentum Leo", $50, Available, https://poshmark.com/listing/Five-Dancewear-Momentum-Leo-5e7bfc36264a55cce6c62c39
"five dancewear x out leggings", $45, Available, https://poshmark.com/listing/five-dancewear-x-out-leggings-5e790f42b3e917b7d7433805
"Five Dancewear Leotard", $50, Available, https://poshmark.com/listing/Five-Dancewear-Leotard-5e6eb58308d2c23840cfdaea
"Five dancewear leotard", $45, Available, https://poshmark.com/listing/Five-dancewear-leotard-5e6d5a2122bd7cc688303954
"Five Dancewear red top with cut out details", $30, Available, https://poshmark.com/listing/Five-Dancewear-red-top-with-cut-out-details-5e6d4e63a20dfc4ec9c9ac32
"Five Dance wear Leotard SA", $50, Available, https://poshmark.com/listing/Five-Dance-wear-Leotard-SA-5e6ba1e7b146cc646d81d042
"ISO Five Dancewear Size PA", $111, Available, https://poshmark.com/listing/ISO-Five-Dancewear-Size-PA-5e5d0b4dd1aa25e407a02b35
"Five Dancewear top and leggings set", $50, Available, https://poshmark.com/listing/Five-Dancewear-top-and-leggings-set-5e5c9b1c1153ba78e87a7004
"Five dancewear Prima leotard", $55, Available, https://poshmark.com/listing/Five-dancewear-Prima-leotard-5e540c13c953d89ea898d3a8
"Five Dancewear Leotard", $45, Available, https://poshmark.com/listing/Five-Dancewear-Leotard-5e4990f210529310c8da1e19
"FIVE DANCEWEAR HANNAH JOGGER- cropped pants", $60, Available, https://poshmark.com/listing/FIVE-DANCEWEAR-HANNAH-JOGGER-cropped-pants-5e4972f616105d8b4c8c6d3d
"five dancewear leo", $55, Available, https://poshmark.com/listing/five-dancewear-leo-5e3ccdfeffc2d468367f64d1
"ISO Five Dancewear", $1000, Available, https://poshmark.com/listing/ISO-Five-Dancewear-5e2d2f2e8557af07deb16944
"FIVE DANCEWEAR | Hoodie Crop Top", $30, Available, https://poshmark.com/listing/FIVE-DANCEWEAR-Hoodie-Crop-Top-5e2b864026219f1c0df7503b
"FIVE DANCEWEAR | Bike Shorts | Navy Blue | Small", $34, Available, https://poshmark.com/listing/FIVE-DANCEWEAR-Bike-Shorts-Navy-Blue-Small-5e294957b3e917a39bda13af
"FIVE DANCEWEAR | Sports Bra | Adult Small", $26, Available, https://poshmark.com/listing/FIVE-DANCEWEAR-Sports-Bra-Adult-Small-5e2946019d3b78311b55e3ee
"FIVE DANCEWEAR | Infinity Bra | Small", $28, Available, https://poshmark.com/listing/FIVE-DANCEWEAR-Infinity-Bra-Small-5e27b6eaa20dfc6764bc1a09
"Brand new! Leo's Dancewear, M black capri pant", $25, Available, https://poshmark.com/listing/Brand-new-Leos-Dancewear-M-black-capri-pant-5e2746ce19c1572ad9b634fb
