"title", price, sold, size, url
  AVAILABLE STATS for Brand: capezio   Items Scanned: 5040   Total Value: $102983.00 
  SOLD STATS for Brand: capezio   Items Scanned: 5040   Total Value: $79236.00 
  TOTAL VALUE OF AVAILABLE AND SOLD ITEMS: $182219.0
"Women’s Spandex/Dance Shorts Bundle", $40, Available, M, https://poshmark.com/listing/Womens-SpandexDance-Shorts-Bundle-5ef1628081a36ccdc3b60c03
"Capezio Show Choir Shoes", $20, Available, 7.5, https://poshmark.com/listing/Capezio-Show-Choir-Shoes-5ef15da209d7604822705b7e
"blue leotard", $25, Available, medium, https://poshmark.com/listing/blue-leotard-5ef15f9e9e15591a5a795914
"Tap Shoes", $30, Available, 1G, https://poshmark.com/listing/Tap-Shoes-5ef15ce5cb692c0bba73ae8c
"halter leotard", $25, Available, medium, https://poshmark.com/listing/halter-leotard-5ef15f40463d4fafd375959b
"Studio by Capezio Small Cropped Dance Leggings", $10, Available, S, https://poshmark.com/listing/Studio-by-Capezio-Small-Cropped-Dance-Leggings-5ef15e127457ad53852e9859
"purple leotard", $20, Available, small, https://poshmark.com/listing/purple-leotard-5ef15d7393649f205bd68597
"black leotard", $20, Available, small, https://poshmark.com/listing/black-leotard-5ef15ce27f80d2cca652b0d6
"Capezio Navy woven leather belt size M/L", $29, Available, OS, https://poshmark.com/listing/Capezio-Navy-woven-leather-belt-size-ML-5ef156f6920786b8067c0c3d
"Capezio Jr. Tyette Tap Shoe", $20, Available, 1G, https://poshmark.com/listing/Capezio-Jr-Tyette-Tap-Shoe-5ef152419e15596da678e553
"Leotard 💃🏼", $10, Available, Medium, https://poshmark.com/listing/Leotard-5ef14eb86f6c912cbdee12ad
"Capezio Tap Shoes - Like New in Box", $80, Available, 8.5, https://poshmark.com/listing/Capezio-Tap-Shoes-Like-New-in-Box-5ef14cfd800f6429b0a0d28f
"CAPEZIO Lacy Leggings", $10, Available, XS, https://poshmark.com/listing/CAPEZIO-Lacy-Leggings-5ef14b83691412ac95164b1b
"capezio ballet black leotard", $12, Available, XS, https://poshmark.com/listing/capezio-ballet-black-leotard-5ef14864800f64a48da0abc4
"Capezio Halter NeckLeotard", $6, Available, Adult Medium, https://poshmark.com/listing/Capezio-Halter-NeckLeotard-5ef147e4e97e48346c4181d9
"Capezio black leotard pleated front - M", $25, Available, M, https://poshmark.com/listing/Capezio-black-leotard-pleated-front-M-5ef147d29e155975ef788a33
"Capezio dance leotard - Red - Medium", $25, Available, Adult Medium, https://poshmark.com/listing/Capezio-dance-leotard-Red-Medium-5ef1474412d88062453bf3d1
"White Leotard", $10, Available, Medium, https://poshmark.com/listing/White-Leotard-5ef146da463d4fe16a74c12b
"Bundle of brand new dance leotards", $60, Available, Large, https://poshmark.com/listing/Bundle-of-brand-new-dance-leotards-5ef144972ca9ab0fd01cfffe
"Bundle of brand new dance leotards", $45, Available, Medium, https://poshmark.com/listing/Bundle-of-brand-new-dance-leotards-5ef140efce1e87a3ec722741
"Capezio lace tights with shorts / legging", $25, Available, Xs/ small, https://poshmark.com/listing/Capezio-lace-tights-with-shorts-legging-5ef13ba0163df48680d721d8
"Brand new dance leotards", $35, Available, Intermediate, https://poshmark.com/listing/Brand-new-dance-leotards-5ef13c87446e5916483d4170
"Brand new dance leotards and tights", $40, Available, Small, https://poshmark.com/listing/Brand-new-dance-leotards-and-tights-5ef139de81a36c7662b4b754
"Capezio Jr. Tyette Tap Shoes", $10, Available, 12 W, https://poshmark.com/listing/Capezio-Jr-Tyette-Tap-Shoes-5ef13857284e999c6c9a37c8
"Capezio cowboy boots Western camel leather festiv", $82, Available, 6.5, https://poshmark.com/listing/Capezio-cowboy-boots-Western-camel-leather-festiv-5ef1387d2a1eff4200e6d838
"Bundle of dance leotards", $35, Available, Extra Small, https://poshmark.com/listing/Bundle-of-dance-leotards-5ef136e706d59cbca09ae763
"Bundle of brand new dance leotards and tights.", $50, Available, Toddler, https://poshmark.com/listing/Bundle-of-brand-new-dance-leotards-and-tights-5ef133b83bad6dc191b968b5
"Capezio tap shoes", $65, Available, 11.5, https://poshmark.com/listing/Capezio-tap-shoes-5ef134462a1effa6e1e6b6ef
"Capezio men's character shoe", $65, Available, , https://poshmark.com/listing/Capezio-mens-character-shoe-5ef1323b2a1eff2966e6a843
"Capezio men's character shoe", $65, Available, , https://poshmark.com/listing/Capezio-mens-character-shoe-5ef1308aff8304aea4bf45d7
"Capezio Tele Tone Tap Shoes Size 7", $25, Available, 7, https://poshmark.com/listing/Capezio-Tele-Tone-Tap-Shoes-Size-7-5ef12cb5ffba94f5c9451261
"Brand new dance leotards and tights", $75, Available, Small, https://poshmark.com/listing/Brand-new-dance-leotards-and-tights-5ef12a173cda8895619c2f15
"Spectator oxford", $25, Available, 8.5, https://poshmark.com/listing/Spectator-oxford-5ef12ff5ff7c5a585fb2b2b4
"CAPEZIO Boys Cut Low Rise Short - Women’s", $6, Available, XS, https://poshmark.com/listing/CAPEZIO-Boys-Cut-Low-Rise-Short-Womens-5ef12601c693bddd6a5b165e
"Capezio Black Tap Shoes CG09", $85, Available, 8, https://poshmark.com/listing/Capezio-Black-Tap-Shoes-CG09-5ef1248d4fd23a787b729c97
"Vintage Capezio Leather Cowboy/girl boots🤠", $35, Available, 6, https://poshmark.com/listing/Vintage-Capezio-Leather-Cowboygirl-boots-5ef1233e93649f8223d4ac71
"NWT Capezio Footed Tight", $15, Available, Small/ med, https://poshmark.com/listing/NWT-Capezio-Footed-Tight-5ef12043800f64a62c9f58de
"NWT Black Fishnet Tights", $15, Available, Small/ med, https://poshmark.com/listing/NWT-Black-Fishnet-Tights-5ef11ef37ec30c070f92a265
"Nude dance leotard. Size L", $50, Available, L, https://poshmark.com/listing/Nude-dance-leotard-Size-L-5ef117a818013613ccbb47f8
"Capezio Jazz Shoes Size 7", $20, Available, 7, https://poshmark.com/listing/Capezio-Jazz-Shoes-Size-7-5ef111a2275e557868c48033
"Bloch Jazz Shoes Size 4.5", $15, Available, 4.5, https://poshmark.com/listing/Bloch-Jazz-Shoes-Size-45-5ef111477f80d2e00c503537
"Leo’s Tap Heels", $30, Available, 8.5, https://poshmark.com/listing/Leos-Tap-Heels-5ef11057446e59d1c23bddab
"LaDuca Shoes Teresa T Strap shoe with taps", $150, Available, 9, https://poshmark.com/listing/LaDuca-Shoes-Teresa-T-Strap-shoe-with-taps-5ef10dbfcb692c0ebd71132b
"Capezio jazz shoes", $20, Available, 10.5, https://poshmark.com/listing/Capezio-jazz-shoes-5ef10cea81a36c9494b33f4a
"Capezio Dance Skirt - Glitter Tutu", $19, Available, 4/5, https://poshmark.com/listing/Capezio-Dance-Skirt-Glitter-Tutu-5ef0f85943895f6094f6dfdc
"Black Capezio dance shoes", $18, Available, 8, https://poshmark.com/listing/Black-Capezio-dance-shoes-5ee04d5209d7600d5e7e58c3
"NWT Capezio XL Short Sleeve Leotard", $16, Available, XLG, https://poshmark.com/listing/NWT-Capezio-XL-Short-Sleeve-Leotard-5ef0f4507ec30cdeba9124aa
"Dark Gary Capezio Large Tribal Swimsuit", $17, Available, M/L, https://poshmark.com/listing/Dark-Gary-Capezio-Large-Tribal-Swimsuit-5ef0f0d6800f64b50d9da843
"Capezio Tap Shoes", $15, Available, Length around 7 1/4”, https://poshmark.com/listing/Capezio-Tap-Shoes-5ef0f039ce1e87d91e6f7833
"Dark Grey Capezio Swimsuit Tribal Straps One Piece", $17, Available, XL, https://poshmark.com/listing/Dark-Grey-Capezio-Swimsuit-Tribal-Straps-One-Piece-5ef0eba6cb692c98396fe25a
"Capezio Burgundy Ballet Leotard Bodysuit - Medium", $20, Available, M, https://poshmark.com/listing/Capezio-Burgundy-Ballet-Leotard-Bodysuit-Medium-5ef0e9939c337834d06107d6
"Capezio- Teletone Tap Shoes", $20, Available, 7, https://poshmark.com/listing/Capezio-Teletone-Tap-Shoes-5ef0e08f3a0db92de79a086b
"Capezio vintage belt", $22, Available, M/L, https://poshmark.com/listing/Capezio-vintage-belt-5ef0df4d1629588969e79557
"Lace Front and Open-Back Capezio Leotard", $18, Available, Medium, https://poshmark.com/listing/Lace-Front-and-OpenBack-Capezio-Leotard-5ef0d9bf12d880216c384e07
"Moss Green Capezio Criss-Cross Leotard", $15, Available, Medium, https://poshmark.com/listing/Moss-Green-Capezio-CrissCross-Leotard-5ef0d915284e99e2c0970281
"Maroon/Plum Open-Back Capezio Leotard", $16, Available, Medium, https://poshmark.com/listing/MaroonPlum-OpenBack-Capezio-Leotard-5ef0d89c3cda8822cb9974ad
"NEW Capezio T-Strap Character Shoes", $55, Available, 9, https://poshmark.com/listing/NEW-Capezio-TStrap-Character-Shoes-5ee9259e3a0db9ac550a55ba
"Girls Black Long Sleeve Dance Leotard", $10, Available, T, https://poshmark.com/listing/Girls-Black-Long-Sleeve-Dance-Leotard-5ef0d6032a1eff6f82e384e6
"NWT pink Capezio tank leotard", $22, Available, Medium, https://poshmark.com/listing/NWT-pink-Capezio-tank-leotard-5ef0d5592ca9aba170193eaf
"Women’s camisole leotard", $6, Available, M, https://poshmark.com/listing/Womens-camisole-leotard-5ef0d153045e39c949f7b552
"Girls Dance Leotard", $10, Available, T, https://poshmark.com/listing/Girls-Dance-Leotard-5ef0cf34074d245d004098c8
"Bundle of strong exercise /dance bras", $25, Available, Large, https://poshmark.com/listing/Bundle-of-strong-exercise-dance-bras-5ef0c2f543895fca2bf5463c
