"title", price, sold, size, url
  AVAILABLE STATS for Brand: john galt   Items Scanned: 5040   Total Value: $143743.00 
  SOLD STATS for Brand: john galt   Items Scanned: 5040   Total Value: $86013.00 
  Number of xsmall, small, medium, large, xlarge, unknown: 733, 7869, 809, 121, 17, 2211
  TOTAL VALUE OF AVAILABLE AND SOLD ITEMS: $229756.0
"Brandy Melville Red Tube Top", $16, Available, One size, https://poshmark.com/listing/Brandy-Melville-Red-Tube-Top-5ef40fe2ae766fb0019b0ad5
"BNWT Charlotte Russe body suit!", $10, Available, S, https://poshmark.com/listing/BNWT-Charlotte-Russe-body-suit-5ef40e3b7ec30cc20b0fc1f6
"Fitted green long sleeve!", $9, Available, S, https://poshmark.com/listing/Fitted-green-long-sleeve-5ef40de1e107bb4847891a83
"Malibu windbreaker!", $18, Available, S, https://poshmark.com/listing/Malibu-windbreaker-5ef40cef4fd23a068567c26c
"Denim jacket!", $10, Available, XS, https://poshmark.com/listing/Denim-jacket-5ef40c91c936af018b10923d
"Billsbong crew neck!", $9, Available, M, https://poshmark.com/listing/Billsbong-crew-neck-5ef40c2b275e55337c4b0656
"American Eagle halter top!", $13, Available, S, https://poshmark.com/listing/American-Eagle-halter-top-5ef40b8712d880f7c6d3c48d
"Off the shoulder top!", $9, Available, S, https://poshmark.com/listing/Off-the-shoulder-top-5ef40b31e97e48a76326a23a
"Forever 21 cropped crew neck!", $9, Available, S, https://poshmark.com/listing/Forever-21-cropped-crew-neck-5ef40a4206d59c3f12fcc0e5
"Floral dress!", $10, Available, XS, https://poshmark.com/listing/Floral-dress-5ef409c2ac970290ec462509
"Halter dress!", $10, Available, S, https://poshmark.com/listing/Halter-dress-5ef4098509d760886b8b4ec8
"Brandy Melville New York hat", $14, Available, OS, https://poshmark.com/listing/Brandy-Melville-New-York-hat-5ef40945163df460e670334b
"Me to we crop top!", $13, Available, XS, https://poshmark.com/listing/Me-to-we-crop-top-5ef4093e93649fc5198cb1c0
"Classic black and white flannel!", $10, Available, S, https://poshmark.com/listing/Classic-black-and-white-flannel-5ef408d1c693bdbc64f53d01
"Vintage lettuce edge cropped long sleeve", $18, Available, XS, https://poshmark.com/listing/Vintage-lettuce-edge-cropped-long-sleeve-5ef4086d18013672efbd90ec
"DKNY jacket!", $11, Available, S, https://poshmark.com/listing/DKNY-jacket-5ef4081b7ec30cc20b0f7724
"Windbreaker!", $13, Available, M, https://poshmark.com/listing/Windbreaker-5ef407a3e107bb22be88c93e
"John Galt long sleeve top", $30, Available, S, https://poshmark.com/listing/John-Galt-long-sleeve-top-5ef407b0ff7c5af20c2a6c7d
"Brandy Melville bomber jacket", $10, Available, One size fits all, https://poshmark.com/listing/Brandy-Melville-bomber-jacket-5ef4074c6e2846fdab746dc1
"Wrap top!", $10, Available, XS, https://poshmark.com/listing/Wrap-top-5ef40746800f64749d2c9019
"Marble tie dye dress!", $8, Available, S, https://poshmark.com/listing/Marble-tie-dye-dress-5ef406dbe1316418a54673a4
"black skirt!", $15, Available, S, https://poshmark.com/listing/black-skirt-5ef405fbbcbb52009d38c86e
"Brandy Melville Waffle Knit Hoodie", $25, Available, S, https://poshmark.com/listing/Brandy-Melville-Waffle-Knit-Hoodie-5ef3fed87f80d26eacfeb878
"NWOT Brandy Melville Tie Strap Tank", $19, Available, OS, https://poshmark.com/listing/NWOT-Brandy-Melville-Tie-Strap-Tank-5ef3f97f6914129733bce8eb
"🌼Brandy♥️Melville🌼", $17, Available, One size, https://poshmark.com/listing/BrandyMelville-5ef3f8f006d59c16a2fc1d4d
"Brandy Melville purple Caroline top EUC stylish", $21, Available, One size, https://poshmark.com/listing/Brandy-Melville-purple-Caroline-top-EUC-stylish-5ef3f7a81801369239bcfc1d
"John Galt Cropped Mustard Hoodie", $24, Available, XS-S, https://poshmark.com/listing/John-Galt-Cropped-Mustard-Hoodie-5ef3f5dcd737fd3759519882
"John Galt/Brandy Melville Cara Skirt (one size)", $17, Available, XS, https://poshmark.com/listing/John-GaltBrandy-Melville-Cara-Skirt-one-size-5ef3f233180136b196bccb4f
"John Galt California Tank (Brandy Melville)", $20, Available, One size fits all, https://poshmark.com/listing/John-Galt-California-Tank-Brandy-Melville-5ef3f0f8446e592d6a00efd0
"John galt denim shorts", $20, Available, M, https://poshmark.com/listing/John-galt-denim-shorts-5ef3ece6446e5947a000d287
"John Galt Black Denim Shorts", $30, Available, S, https://poshmark.com/listing/John-Galt-Black-Denim-Shorts-5ef3e8d6163df460e66f0b15
"EUC John Galt Brandi Retro Stripe Tee-1SZ", $25, Available, 1 SZ, https://poshmark.com/listing/EUC-John-Galt-Brandi-Retro-Stripe-Tee1SZ-5ef3e82d93649f799f8b852f
"John Galt Cropped Quarter Zip Long Sleeve 🌻", $21, Available, S, https://poshmark.com/listing/John-Galt-Cropped-Quarter-Zip-Long-Sleeve-5ef3e7792ca9ab49bb6fb15a
"New with tag PACSUN Brandi Melville Cowboy Tee-1SZ", $20, Available, 1SZ, https://poshmark.com/listing/New-with-tag-PACSUN-Brandi-Melville-Cowboy-Tee1SZ-5ef3e6baac9702d78a44e3da
"John galt high waisted denim shorts", $25, Available, M, https://poshmark.com/listing/John-galt-high-waisted-denim-shorts-5ef3e67bff7c5ab674294254
"John Galt Paris tee", $16, Available, One size, https://poshmark.com/listing/John-Galt-Paris-tee-5ef3dfafc693bdd441f3cba1
"John Galt Sweatpants", $28, Available, One Size, https://poshmark.com/listing/John-Galt-Sweatpants-5ef3dfa7446e598b0500632e
"Brandy Melville Honey Crew Neck Sweatshirt", $15, Available, S, https://poshmark.com/listing/Brandy-Melville-Honey-Crew-Neck-Sweatshirt-5ef3d6cbd737fd2b00508f79
"Brandy Melville Light Pink Cropped Tank Top", $17, Available, S, https://poshmark.com/listing/Brandy-Melville-Light-Pink-Cropped-Tank-Top-5ef3df32771b8e6afd556537
"Brandy Melville Santa Monica hoody sweater M", $38, Available, M, https://poshmark.com/listing/Brandy-Melville-Santa-Monica-hoody-sweater-M-5ef3dc47c936af785f0ecc7a
"John Galt Brandy Melville pullover sweater", $39, Available, S, https://poshmark.com/listing/John-Galt-Brandy-Melville-pullover-sweater-5ef3dab8efd0e45be35fd37a
"Brandy Melville Blue Kimbell Lettuce Hem Tank Top", $16, Available, S, https://poshmark.com/listing/Brandy-Melville-Blue-Kimbell-Lettuce-Hem-Tank-Top-5ef3db1c727b3e101ed4b2fd
"John Galt Denim Shorts", $20, Available, M, https://poshmark.com/listing/John-Galt-Denim-Shorts-5ef3d90befd0e479075fc567
"Brandy Melville Tilden White Striped Pants", $40, Available, XS, https://poshmark.com/listing/Brandy-Melville-Tilden-White-Striped-Pants-5ef3d72a727b3e5d2dd38913
"RARE : John Galt Yellow Baby Doll Knot Top", $14, Available, XSJ, https://poshmark.com/listing/RARE-John-Galt-Yellow-Baby-Doll-Knot-Top-5ef3d3b1727b3e86c5d281c3
"John Galt Jamie Cali Poppy TShirt", $8, Available, One Size, https://poshmark.com/listing/John-Galt-Jamie-Cali-Poppy-TShirt-5ef3d050800f64bb582ab1cd
"Mustard Yellow John Galt Crewneck", $10, Available, One Size, https://poshmark.com/listing/Mustard-Yellow-John-Galt-Crewneck-5ef3cf6e2a1effe81fd559e4
"🇺🇸New York, USA Navy John Galt Quarter ZIP", $21, Available, One size fits all, https://poshmark.com/listing/New-York-USA-Navy-John-Galt-Quarter-ZIP-5ef3ce7e3bad6d406fbd666a
"Brandy Melville joggers", $22, Available, S, https://poshmark.com/listing/Brandy-Melville-joggers-5ef3cbf9284e99096f9e5b10
"Brandy Melville cropped long sleeve", $20, Available, S, https://poshmark.com/listing/Brandy-Melville-cropped-long-sleeve-5ef3c71d6f6c917175a3c804
"💋White Long Sleeve John Galt", $14, Available, M, https://poshmark.com/listing/White-Long-Sleeve-John-Galt-5ef3c528e13164c4f03d9b0c
"Red and white brandy Melville/John galt t shirt", $13, Available, 2, https://poshmark.com/listing/Red-and-white-brandy-MelvilleJohn-galt-t-shirt-5ef3c4a3074d24294f860d67
"Brandy Melville checkered skirt", $15, Available, OS, https://poshmark.com/listing/Brandy-Melville-checkered-skirt-5ef3c513c936af94970c6837
