"title", price, sold, size, url
  AVAILABLE STATS for Brand: stio   Items Scanned: 109   Total Value: $7744.00 
  SOLD STATS for Brand: stio   Items Scanned: 619   Total Value: $31503.00 
  Number of xsmall, small, medium, large, xlarge, unknown: 46, 233, 266, 197, 52, 596
  TOTAL VALUE OF AVAILABLE AND SOLD ITEMS: $39247.0
"Stio snap up shirt", $65, Available, L, https://poshmark.com/listing/Stio-snap-up-shirt-5ef3a466bb5937042aee4306
"Stio Downwater Board Pant Mens 32 Green", $79, Available, 32, https://poshmark.com/listing/Stio-Downwater-Board-Pant-Mens-32-Green-5ef39e5093649ff86438b895
"Stio Gray Camo Insulated Skycrest Jacket Coat M", $89, Available, M, https://poshmark.com/listing/Stio-Gray-Camo-Insulated-Skycrest-Jacket-Coat-M-5eea90e2d737fd98684aa4d4
"W’a Stio Divide Tech Tee", $65, Available, S, https://poshmark.com/listing/Wa-Stio-Divide-Tech-Tee-5eefe8bf09d760996067049f
"Stio women’s Divide hooded pullover", $60, Available, L, https://poshmark.com/listing/Stio-womens-Divide-hooded-pullover-5eee79db88cce393dd046c80
"Stio women’s Divide hooded pullover", $55, Available, L, https://poshmark.com/listing/Stio-womens-Divide-hooded-pullover-5eee79422a1eff361d1efbb8
"Stio women’s Divide hooded pullover", $60, Available, L, https://poshmark.com/listing/Stio-womens-Divide-hooded-pullover-5eee789f06d59cb58571a8f3
"Stio women’s Divide hooded pullover", $55, Available, XL, https://poshmark.com/listing/Stio-womens-Divide-hooded-pullover-5eee775ebcdb2f03d1e32f2f
"Stio Women's Fleece Poncho", $75, Available, XS/S, https://poshmark.com/listing/Stio-Womens-Fleece-Poncho-5eee706906d59c2e0a715c35
"Stio Willow Flannel Shirt", $40, Available, M, https://poshmark.com/listing/Stio-Willow-Flannel-Shirt-5ee91ff3771b8e0cff119aa8
"Stio dovetail flannel", $40, Available, M, https://poshmark.com/listing/Stio-dovetail-flannel-5ee78a967f80d2a21c4ef97f
"Stio down jacket", $200, Available, S, https://poshmark.com/listing/Stio-down-jacket-5ee2dc5e4fd23a6b94fdb4cb
"Stio flannel shirt green", $30, Available, M, https://poshmark.com/listing/Stio-flannel-shirt-green-5ee259689e155966c2beca4f
"Cloudveil white suede fleece full zip up jacket S.", $35, Available, S, https://poshmark.com/listing/Cloudveil-white-suede-fleece-full-zip-up-jacket-S-5ee015df446e596ab1b80c16
"Stio Harkin Snap Shirt Sz Sm Teal Green Floral", $30, Available, S, https://poshmark.com/listing/Stio-Harkin-Snap-Shirt-Sz-Sm-Teal-Green-Floral-5edd9e09cb692c5956e8fab4
"Stio Second Light Jacket in beveled glass", $76, Available, M, https://poshmark.com/listing/Stio-Second-Light-Jacket-in-beveled-glass-5edeaa8373d9613085160ad7
"Stio Women's Navy Down Puffer Jacket Size L", $115, Available, L, https://poshmark.com/listing/Stio-Womens-Navy-Down-Puffer-Jacket-Size-L-5ed69f2bff8304de63738af7
"Stio Modi’s Trench Rain Coat", $175, Available, XS, https://poshmark.com/listing/Stio-Modis-Trench-Rain-Coat-5ed7bec03cda887260f73d74
"Stio Sweat Shirt", $45, Available, XS, https://poshmark.com/listing/Stio-Sweat-Shirt-5ed5263cbcbb52e344458c47
"Stio, 3/4-sleeve button up T", $25, Available, M, https://poshmark.com/listing/Stio-34sleeve-button-up-T-5ed187e518013673bdd94254
"Men’s Stio Alpiner Hooded Jacket XXL POLARTEC", $150, Available, XXL, https://poshmark.com/listing/Mens-Stio-Alpiner-Hooded-Jacket-XXL-POLARTEC-5eccbf42e13164aede031460
"Kids Stio sweatshirt size large", $18, Available, LG, https://poshmark.com/listing/Kids-Stio-sweatshirt-size-large-5ecbf1cf81a36cf6750ca7b4
"Stio Sweetwater Fleece Hoodie", $80, Available, XL, https://poshmark.com/listing/Stio-Sweetwater-Fleece-Hoodie-5ec53d803a0db92e7c9702d7
"Stio Environ Jacket", $175, Available, M, https://poshmark.com/listing/Stio-Environ-Jacket-5ec310d9ac9702ff7d016916
"NWT Stio W's Raymer Ski Pant RED Sz: Med", $150, Available, M, https://poshmark.com/listing/NWT-Stio-Ws-Raymer-Ski-Pant-RED-Sz-Med-5ec16d133e67945d2c98364b
"STIO Divide Shirt", $40, Available, S, https://poshmark.com/listing/STIO-Divide-Shirt-5ec140c6e131641c7676e6ce
"Stio womens Insulated Skycrest Snapshirt", $70, Available, XL, https://poshmark.com/listing/Stio-womens-Insulated-Skycrest-Snapshirt-5ec059a53cda88c9ab3b381f
"Stio womens Skycrest Insulated Snapshirt", $70, Available, XL, https://poshmark.com/listing/Stio-womens-Skycrest-Insulated-Snapshirt-5ec05876e107bb4f3dd186eb
"Stio womens Skycrest Insulated Snapshirt", $80, Available, XL, https://poshmark.com/listing/Stio-womens-Skycrest-Insulated-Snapshirt-5ec0574abcbb52311254c570
"STIO Grey & Burgundy Cotton Blend Poplar Shirt M", $34, Available, M, https://poshmark.com/listing/STIO-Grey-Burgundy-Cotton-Blend-Poplar-Shirt-M-5ebf6b663cda885f503642fb
"Stio Jacket", $170, Available, M, https://poshmark.com/listing/Stio-Jacket-5ebc62f1efd0e4aa2d1f243f
"Stio Jacket", $70, Available, S, https://poshmark.com/listing/Stio-Jacket-5ebc6253ff7c5aa65aad64f8
"Stio Merino Wool Henley V-neck sweater Medium", $32, Available, M, https://poshmark.com/listing/Stio-Merino-Wool-Henley-Vneck-sweater-Medium-5eb8855e7ec30c4503d9b91c
"Stio flannel shirt", $30, Available, XS, https://poshmark.com/listing/Stio-flannel-shirt-5eaf3e8c81a36c2e0131aaa9
"Stio Willow Flannel Shirt", $40, Available, M, https://poshmark.com/listing/Stio-Willow-Flannel-Shirt-5ea5eaacd872b424af687b77
"Icebreaker Women Oasis 200 Merino Wool - Like NEW!", $25, Available, XS, https://poshmark.com/listing/Icebreaker-Women-Oasis-200-Merino-Wool-Like-NEW-5ea3761c3bad6dc2509bce27
"STIO Men’s Curtis Short Sleeve Shirt", $75, Available, XL, https://poshmark.com/listing/STIO-Mens-Curtis-Short-Sleeve-Shirt-5ea2bb5a6914121eb35a9a10
"Stio women’s vest", $65, Available, XS, https://poshmark.com/listing/Stio-womens-vest-5e99ca0f3cda8896609d9b62
"Women’s Stio azura insulated vest", $65, Available, XS, https://poshmark.com/listing/Womens-Stio-azura-insulated-vest-5e99bb6e045e39d743d40ddb
"Stio Pants Cotton Tipton sz 8 Casual", $35, Available, 8, https://poshmark.com/listing/Stio-Pants-Cotton-Tipton-sz-8-Casual-5e8f72c5f01bb26746d74bc1
"Men’s Stio running shorts", $20, Available, S, https://poshmark.com/listing/Mens-Stio-running-shorts-5e8a485c2ca9ab9234c1f666
"Stio Women’s plaid popover - Large", $29, Available, L, https://poshmark.com/listing/Stio-Womens-plaid-popover-Large-5e88e0bc2a1efffa14fa0c1d
"Stio Hiking Pants NWT", $79, Available, 14, https://poshmark.com/listing/Stio-Hiking-Pants-NWT-5e87aa34163df4371757fdf2
"Stio Harkin Floral Shirt", $40, Available, M, https://poshmark.com/listing/Stio-Harkin-Floral-Shirt-5e850f0d69141290e430960d
"Stio - Petty Coat - Medium", $40, Available, S, https://poshmark.com/listing/Stio-Petty-Coat-Medium-5e85082f43895fbb72da5434
"STIO MEN'S AZURA INSULATED JACKET SZ LARGE GREEN", $125, Available, L, https://poshmark.com/listing/STIO-MENS-AZURA-INSULATED-JACKET-SZ-LARGE-GREEN-5e8143419495d2e30dddf945
"Stio Reversable Jacket", $150, Available, L, https://poshmark.com/listing/Stio-Reversable-Jacket-5e7a6d0963de859f83ead9e6
"Stio 3/4 Zip Fleece", $80, Available, L, https://poshmark.com/listing/Stio-34-Zip-Fleece-5e6e705aafade84b1a689791
"Stio Fleece", $65, Available, L, https://poshmark.com/listing/Stio-Fleece-5e6d34cc22bd7c55902f710a
"Stio Insulated Softshell Jacket", $90, Available, S, https://poshmark.com/listing/Stio-Insulated-Softshell-Jacket-5e6a8adc06d59c8b9ce83ef1
"STIO Turpin Fleece Funnel Neck Sweater", $45, Available, S, https://poshmark.com/listing/STIO-Turpin-Fleece-Funnel-Neck-Sweater-5e65427f29f0304096464032
"Grey half zip jacket (WORN ONCE)", $115, Available, S, https://poshmark.com/listing/Grey-half-zip-jacket-WORN-ONCE-5e63edca93b46ab5a6ab33b7
"Men’s Blue Pullover", $60, Available, L, https://poshmark.com/listing/Mens-Blue-Pullover-5e62eb73c4cd7ebded863e38
"Stio Raymer Pant", $125, Available, M, https://poshmark.com/listing/Stio-Raymer-Pant-5e62c3e01153ba5b4d7b7ceb
"STIO New Unstructured sport jacket.", $140, Available, 42R, https://poshmark.com/listing/STIO-New-Unstructured-sport-jacket-5e61495effc2d45d7fb677a5
