"title", price, sold, url
  AVAILABLE STATS for Brand: Reformation, Items Scanned: 5940, Total Items (Including sponsored): 15168 Value (Without sponsored): $1630265.86 
  SOLD STATS for Brand: Reformation, Total Sold Items: 4748, Value: $362236.72 
  TOTAL VALUE OF AVAILABLE AND SOLD ITEMS: $1992502.5816935096
"Reformation Size 4 Lace Up Black Mini Dress puff sleeve", $35.00, Available, https://www.ebay.com/itm/Reformation-Size-4-Lace-Up-Black-Mini-Dress-puff-sleeve/224044556143?hash=item342a189f6f:g:hMMAAOSwn3de5Uh~
"Reformation NWT High & Skinny Jean Black Womens Size 28 Stretch Cotton Blend", $78.00, Available, https://www.ebay.com/itm/Reformation-NWT-High-Skinny-Jean-Black-Womens-Size-28-Stretch-Cotton-Blend/254624865604?hash=item3b48d31d44:g:O18AAOSwFLpe5Uha
"Reformation jumpsuit", $31.00 $75.00, Available, https://www.ebay.com/itm/Reformation-jumpsuit/233618476958?hash=item3664bf0f9e:g:t6gAAOSwJJJe3q-e
"Reformation NWT Cropped Double V Cardigan Cashmere Womens Size Small S Black", $115.00, Available, https://www.ebay.com/itm/Reformation-NWT-Cropped-Double-V-Cardigan-Cashmere-Womens-Size-Small-S-Black/254624864671?hash=item3b48d3199f:g:qIoAAOSwNzde5UhH
"Reformation Hyla Black Linen Tiered Midi Ruffle Straps Summer Dress Size 2 $248", $89.99, Available, https://www.ebay.com/itm/Reformation-Hyla-Black-Linen-Tiered-Midi-Ruffle-Straps-Summer-Dress-Size-2-248/283913549939?hash=item421a90f873:g:V9gAAOSwFl9e5UM~
"REFORMATION SAVU SKIRT; NEW WITH TAGS; SIZE 27", $49.99 $69.99, Available, https://www.ebay.com/itm/REFORMATION-SAVU-SKIRT-NEW-WITH-TAGS-SIZE-27/402294572638?hash=item5daaa0065e:g:eioAAOSwl-de5UGu
"Reformation Jeans Womens A Line Dress Red Ribbed V-Neck Long Sleeve Stretch XS", $86.99, Available, https://www.ebay.com/itm/Reformation-Jeans-Womens-A-Line-Dress-Red-Ribbed-V-Neck-Long-Sleeve-Stretch-XS/153970757868?hash=item23d95f50ec:g:HYQAAOSwjdRe36Fd
"REFORMATION Gauze Dress Paisley Tank Oversized Paisley High Slit Low Back S M", $35.00, Available, https://www.ebay.com/itm/REFORMATION-Gauze-Dress-Paisley-Tank-Oversized-Paisley-High-Slit-Low-Back-S-M/153970751215?hash=item23d95f36ef:g:2UwAAOSwG4BeyY0r
"NWT Reformation Havana Top In Bellagio Floral Print 10", $75.00, Available, https://www.ebay.com/itm/NWT-Reformation-Havana-Top-In-Bellagio-Floral-Print-10/164243861449?hash=item263db26fc9:g:KKwAAOSw76xetwcO
"Reformation Red Striped Crop Tank Size S", $33.00, Available, https://www.ebay.com/itm/Reformation-Red-Striped-Crop-Tank-Size-S/114258306570?hash=item1a9a53660a:g:daIAAOSw5rFeuyeq
"Reformation Dress - Size 6", $100.00, Available, https://www.ebay.com/itm/Reformation-Dress-Size-6/233618404917?hash=item3664bdf635:g:2xkAAOSwk2Je5St8
"Reformation Dark Green Ruffle Trimmed Strapless Linen Dress. US 6/UK 10", $56.43, Available, https://www.ebay.com/itm/Reformation-Dark-Green-Ruffle-Trimmed-Strapless-Linen-Dress-US-6-UK-10/264762912317?hash=item3da5196e3d:g:Y6YAAOSwOxJeGSMZ
"NEW Reformation 100% LINEN Calista Gingham Plaid Wrap Midi Dress Blue White XL", $149.99, Available, https://www.ebay.com/itm/NEW-Reformation-100-LINEN-Calista-Gingham-Plaid-Wrap-Midi-Dress-Blue-White-XL/264762909335?hash=item3da5196297:g:ssYAAOSwkvheTbXI
"REFORMATION Peppermint White Ivory Ruffle Wrap Maxi Bridal Wedding Gown XS 0-2", $244.00 $349.00, Available, https://www.ebay.com/itm/REFORMATION-Peppermint-White-Ivory-Ruffle-Wrap-Maxi-Bridal-Wedding-Gown-XS-0-2/164243789082?hash=item263db1551a:g:SsoAAOSwP1de2-WH
"Reformation Arizona Dress Size 2", $99.99, Available, https://www.ebay.com/itm/Reformation-Arizona-Dress-Size-2/274396473963?hash=item3fe34dea6b:g:1Z4AAOSwC2NettZL
"Reformation Black Long Sleeve Mini Dress 2", $38.00, Available, https://www.ebay.com/itm/Reformation-Black-Long-Sleeve-Mini-Dress-2/203020591846?hash=item2f44f862e6:g:Z5wAAOSwX5hd5Z4z
"Reformation Garbo Midi Ivory Ruffle Dress Women's Size XS Wrap", $100.00, Available, https://www.ebay.com/itm/Reformation-Garbo-Midi-Ivory-Ruffle-Dress-Womens-Size-XS-Wrap/193515844338?hash=item2d0e7172f2:g:X7YAAOSww2he5RyW
"Limited Sale!!! Reformation Sammy Dress Color Rochelle size M", $59.99, Available, https://www.ebay.com/itm/Limited-Sale-Reformation-Sammy-Dress-Color-Rochelle-size-M/184327576869?hash=item2aeac79d25:g:mxAAAOSwTAReyo-k
"Limited Sale!!! Reformation Sammy Dress Color Rochelle size XS", $59.99, Available, https://www.ebay.com/itm/Limited-Sale-Reformation-Sammy-Dress-Color-Rochelle-size-XS/184327574486?hash=item2aeac793d6:g:mxAAAOSwTAReyo-k
"Limited Sale!!! Reformation Sheffield Dress Color Green size XL", $29.99, Available, https://www.ebay.com/itm/Limited-Sale-Reformation-Sheffield-Dress-Color-Green-size-XL/184327574494?hash=item2aeac793de:g:~FIAAOSw6PpeUpv0
"Limited Sale!!! Reformation Sheffield Dress Color Silver size L", $29.99, Available, https://www.ebay.com/itm/Limited-Sale-Reformation-Sheffield-Dress-Color-Silver-size-L/184327574496?hash=item2aeac793e0:g:ud4AAOSwIJNeVIG1
"Limited Sale!!! Reformation Sheffield Dress Color Silver size XL", $29.99, Available, https://www.ebay.com/itm/Limited-Sale-Reformation-Sheffield-Dress-Color-Silver-size-XL/184327574498?hash=item2aeac793e2:g:ud4AAOSwIJNeVIG1
"Limited Sale!!! Reformation Reformation Wildflower Dress Color Vionnette size 8", $69.99, Available, https://www.ebay.com/itm/Limited-Sale-Reformation-Reformation-Wildflower-Dress-Color-Vionnette-size-8/184327574499?hash=item2aeac793e3:g:QAkAAOSwz2Veqeoy
"REFORMATION Oprah Winfrey heather blue crew neck sweatshirt vintage medium", $35.00, Available, https://www.ebay.com/itm/REFORMATION-Oprah-Winfrey-heather-blue-crew-neck-sweatshirt-vintage-medium/124222124358?hash=item1cec373146:g:dLAAAOSwPW9erQ6e
"BNWOT Reformation Acai Dress Jubilee US 0 UK 4 UK 6 White Floral", $163.02, Available, https://www.ebay.com/itm/BNWOT-Reformation-Acai-Dress-Jubilee-US-0-UK-4-UK-6-White-Floral/233618336249?hash=item3664bce9f9:g:KEQAAOSwISJe5Qzx
"Reformation Jeans Size 24", $36.37, Available, https://www.ebay.com/itm/Reformation-Jeans-Size-24/264762816926?hash=item3da517f99e:g:zV8AAOSwjgFe16SD
"Reformation Summer Dress Size 0 US/UK 6", $100.31, Available, https://www.ebay.com/itm/Reformation-Summer-Dress-Size-0-US-UK-6/264762816784?hash=item3da517f910:g:XuAAAOSwB0he16mz
"Reformation 'nevada' silk top in L size 14 to 16 bnwt £130", $43.89, Available, https://www.ebay.com/itm/Reformation-nevada-silk-top-in-L-size-14-to-16-bnwt-130/264762790209?hash=item3da5179141:g:m78AAOSwHnpeGgKs
