"title", price, url
"  STATS for Brand: Stella Mccartney, Items Scanned: 14498, Total Items: 16110 Value: $3571468.86 ", , 
"Stella McCartney...Off Shoulder Dress!", $145.00, https://www.ebay.com/itm/Stella-McCartney-Off-Shoulder-Dress/153968362713?hash=item23d93ac4d9:g:x6kAAOSwLaVenzDg
"Stella Mccartney Stella Smooth 34 C Bra", $12.98, https://www.ebay.com/itm/Stella-Mccartney-Stella-Smooth-34-C-Bra/143629213102?hash=item2170f7ddae:g:n9gAAOSwjZZe0AZU
"Stella Mccartney Platinum Bra 34 C", $29.98, https://www.ebay.com/itm/Stella-Mccartney-Platinum-Bra-34-C/143629209219?hash=item2170f7ce83:g:3gAAAOSwVn1e0AU5
"stella mccartney adidas top", $25.00, https://www.ebay.com/itm/stella-mccartney-adidas-top/383586036341?hash=item594f826a75:g:HC4AAOSw6Gxe4ni8
"Adidas Stella Mccartney Women’s Barricade Boost Athletic Sneakers 9.5", $55.88, https://www.ebay.com/itm/Adidas-Stella-Mccartney-Women-s-Barricade-Boost-Athletic-Sneakers-9-5/124220076197?hash=item1cec17f0a5:g:KZAAAOSwjgFe4ney
"STELLA MCCARTNEY Falabella 2way chain tote bag 234387 polyester Black Used", $425.00, https://www.ebay.com/itm/STELLA-MCCARTNEY-Falabella-2way-chain-tote-bag-234387-polyester-Black-Used/402292426206?hash=item5daa7f45de:g:51EAAOSwEt9e4nGt
"ADIDAS By STELLA MCCARTNEY Vest Top Size XS Houndstooth Racer Back Sleeveless", $14.02, https://www.ebay.com/itm/ADIDAS-By-STELLA-MCCARTNEY-Vest-Top-Size-XS-Houndstooth-Racer-Back-Sleeveless/303593666234?hash=item46af97b6ba:g:tm0AAOSwAtZe4fJU
"Stella Mccartney Grey Jeans Waist 25", $4.08, https://www.ebay.com/itm/Stella-Mccartney-Grey-Jeans-Waist-25/153968321659?hash=item23d93a247b:g:uw8AAOSwMq5e2Q8m
"Stella McCartney Slim Leg Navy Wool Trousers Size 40 Uk 8", $88.01, https://www.ebay.com/itm/Stella-McCartney-Slim-Leg-Navy-Wool-Trousers-Size-40-Uk-8/264760779644?hash=item3da4f8e37c:g:BzQAAOSwT01bMTU-
"Stella Mccartney Cotton Silk Blend Loose Fit 3/4 Sleeve Jumper", $164.54, https://www.ebay.com/itm/Stella-Mccartney-Cotton-Silk-Blend-Loose-Fit-3-4-Sleeve-Jumper/264760779646?hash=item3da4f8e37e:g:iWgAAOSwcSFbMOQ~
"Stella McCartney trousers", $100.76, https://www.ebay.com/itm/Stella-McCartney-trousers/264760779652?hash=item3da4f8e384:g:V-EAAOSw1qtbMTGT
"Stella McCartney Superhero Tank Womens US Size 6 / EU sz 40", $200.00, https://www.ebay.com/itm/Stella-McCartney-Superhero-Tank-Womens-US-Size-6-EU-sz-40/254622871288?hash=item3b48b4aef8:g:NEIAAOSwxbJe4nLE
"Stella McCartney Grey Classic Straight Low-Rise Jeans Size 28", $60.00, https://www.ebay.com/itm/Stella-McCartney-Grey-Classic-Straight-Low-Rise-Jeans-Size-28/264760775135?hash=item3da4f8d1df:g:cKgAAOSwnxxeVHW2
"Coral pink ladies sports bra by Stella McCartney Barricade, size 8/10 (36)", $6.36, https://www.ebay.com/itm/Coral-pink-ladies-sports-bra-by-Stella-McCartney-Barricade-size-8-10-36/363019048711?hash=item54859f1707:g:t6kAAOSwXuRe4muk
"Stella McCartney Italy Designer Dress Metallic Brown 36 IT Sm Ruffle Linen 2008", $64.00, https://www.ebay.com/itm/Stella-McCartney-Italy-Designer-Dress-Metallic-Brown-36-IT-Sm-Ruffle-Linen-2008/184325236625?hash=item2aeaa3e791:g:8~gAAOSwlq9eVLhB
"ADIDAS By STELLA MCCARTNEY T-Shirt Top Size S See Through Front Short Sleeve", $14.02, https://www.ebay.com/itm/ADIDAS-By-STELLA-MCCARTNEY-T-Shirt-Top-Size-S-See-Through-Front-Short-Sleeve/114256329709?hash=item1a9a353bed:g:IfYAAOSw~K5e4fKU
"STELLA MCCARTNEY V-Neck Sheath Midi Dress Sz 48 US 12/14 Shift Career Orange", $185.00, https://www.ebay.com/itm/STELLA-MCCARTNEY-V-Neck-Sheath-Midi-Dress-Sz-48-US-12-14-Shift-Career-Orange/293610278442?hash=item445c894e2a:g:cu4AAOSwB6Re4m1J
"$1150 STELLA MCCARTNEY STRIPE CIRCLES POPLIN SHIRT DRESS IN MULTI BLUE SIZE 36 2", $89.99, https://www.ebay.com/itm/1150-STELLA-MCCARTNEY-STRIPE-CIRCLES-POPLIN-SHIRT-DRESS-IN-MULTI-BLUE-SIZE-36-2/313113139010?hash=item48e6ff5742:g:klYAAOSwMmpeyZKd
"Stella McCartney Black Jodhpur Cotton Trousers Size 42", $57.40, https://www.ebay.com/itm/Stella-McCartney-Black-Jodhpur-Cotton-Trousers-Size-42/333622823758?hash=item4dad784b4e:g:YT8AAOSwLSxevV57
"RRP €180 ADIDAS BY STELLA MCCARTNEY Knitted Sneakers EU411/3 UK7.5 US9 Mesh Logo", $25.50, https://www.ebay.com/itm/RRP-180-ADIDAS-BY-STELLA-MCCARTNEY-Knitted-Sneakers-EU411-3-UK7-5-US9-Mesh-Logo/303593631334?hash=item46af972e66:g:XicAAOSwS4he3zwR
"ADIDAS By STELLA MCCARTNEY Knitted Leggings Size M Patterned Elasticated Waist", $14.02, https://www.ebay.com/itm/ADIDAS-By-STELLA-MCCARTNEY-Knitted-Leggings-Size-M-Patterned-Elasticated-Waist/114256287978?hash=item1a9a3498ea:g:A5UAAOSwxNte2LNk
"Stella McCartney Leopard Sneakers, Size 36", $149.00, https://www.ebay.com/itm/Stella-McCartney-Leopard-Sneakers-Size-36/293610251418?hash=item445c88e49a:g:FWEAAOSwnV9e2Svo
"Stella McCartney Linda Platform Ankle Strap Wedge Cork Sandal Size 37.5 (US 7.5)", $99.00, https://www.ebay.com/itm/Stella-McCartney-Linda-Platform-Ankle-Strap-Wedge-Cork-Sandal-Size-37-5-US-7-5/124219998728?hash=item1cec16c208:g:sYAAAOSwndFdlMBM
"Stella McCartney Meg Alluring Thong Brief Women’s Size L 11757", $65.00, https://www.ebay.com/itm/Stella-McCartney-Meg-Alluring-Thong-Brief-Women-s-Size-L-11757/264760703157?hash=item3da4f7b8b5:g:1-cAAOSwqA1e4l6I
"Stella McCartney Mini Falabella Bag", $335.00, https://www.ebay.com/itm/Stella-McCartney-Mini-Falabella-Bag/254622776370?hash=item3b48b33c32:g:PRYAAOSwNWxe4lws
