"title", source, price, sold, size, url
  EBAY AVAILABLE STATS for Brand: Veja   Items Scanned: 723   Total Items (Including sponsored): 723   Value (Without sponsored): $85355.71 

  POSHMARK AVAILABLE STATS for Brand: Veja   Items Scanned: 733   Total Value: $93788.00 


  Number of xsmall  small  medium  large  xlarge  unknown: 7  41  4  44  0  1360
  TOTAL VALUE OF AVAILABLE AND SOLD ITEMS ON ALL SITES: $179143.71000000022
"Veja Womens Leather Low Top Lace Up Sneakers White Pink Size 6", eBay, $32.99, Available, Unknown, https://www.ebay.com/itm/313556118185?hash=item490166aaa9:g:hYYAAOSwgqNgu9zr
"Veja Sneaker Women's 40", eBay, $125.99, Available, Unknown, https://www.ebay.com/itm/363424071656?hash=item549dc33fe8:g:3-4AAOSwzg1guzR6
"Veja Rio Branco Sneaker Women's 41", eBay, $129.99, Available, Unknown, https://www.ebay.com/itm/363424001794?hash=item549dc22f02:g:VewAAOSwnb1guyY5
"Veja Esplar Logo Leather Sneaker Women's", eBay, $115.99, Available, Unknown, https://www.ebay.com/itm/194185349495?hash=item2d36594977:g:IoIAAOSwn-ZguzaV
"Loma Linda Plant-Based Veja-Links 19 Oz. Pack Of 12 Kosher", eBay, $97.99, Available, Unknown, https://www.ebay.com/itm/373604597356?hash=item56fc91be6c:g:vZoAAOSwB8JguzJS
"Veja V-10 Leather Sneaker Men's Size US 9 / EUR 42 Black/white Sole", eBay, $124.55, Available, Unknown, https://www.ebay.com/itm/224486509137?hash=item3444704a51:g:4r4AAOSwEt9guvQ-
"New VEJA x Rick Owens Runner Sneakers Style Shoe Trainer white light beige 45 12", eBay, $150.82, Available, Unknown, https://www.ebay.com/itm/255005952161?hash=item3b5f8a08a1:g:DFsAAOSwLeBgsOQa
"New VEJA x Rick Owens Runner Sneakers Style Shoe Trainer white light beige 42 9", eBay, $150.82, Available, Unknown, https://www.ebay.com/itm/255005951594?hash=item3b5f8a066a:g:2vcAAOSwwW9gsOQ4
"New VEJA x Rick Owens Runner Sneakers Style Shoe Trainer black knit 41 8 7", eBay, $150.82, Available, Unknown, https://www.ebay.com/itm/255005950796?hash=item3b5f8a034c:g:AaAAAOSw1qFgsORJ
"New VEJA x Rick Owens Runner Sneakers Style Shoe Trainer black knit 41 10 8", eBay, $150.82, Available, Unknown, https://www.ebay.com/itm/255005950000?hash=item3b5f8a0030:g:WY4AAOSwfoZgsORV
