"title", price, sold, size, url


  Number of xsmall, small, medium, large, xlarge, unknown: 0, 0, 0, 0, 0, 0
  TOTAL VALUE OF AVAILABLE AND SOLD ITEMS: $935753.4658199945
"CAPEZIO GLISSE POINTE 12WW", $77.99, Available, Unknown, https://www.ebay.com/itm/CAPEZIO-GLISSE-POINTE-12WW/233630579918?hash=item366577bcce:g:838AAOSw~Ite9aqB
"CAPEZIO GLISSE POINTE 12W", $77.99, Available, Unknown, https://www.ebay.com/itm/CAPEZIO-GLISSE-POINTE-12W/233630579642?hash=item366577bbba:g:lCUAAOSw8-5e9ap9
"CAPEZIO GLISSE POINTE 4.5W", $77.99, Available, Unknown, https://www.ebay.com/itm/CAPEZIO-GLISSE-POINTE-4-5W/233630579677?hash=item366577bbdd:g:UdcAAOSwpq9e9ap9
"CAPEZIO GLISSE POINTE 6.5WW", $77.99, Available, Unknown, https://www.ebay.com/itm/CAPEZIO-GLISSE-POINTE-6-5WW/233630579611?hash=item366577bb9b:g:y1cAAOSwbq5e9ap8
"CAPEZIO GLISSE POINTE 12M", $78.99, Available, Unknown, https://www.ebay.com/itm/CAPEZIO-GLISSE-POINTE-12M/233630579615?hash=item366577bb9f:g:Q3MAAOSwNQNe9ap8
"CAPEZIO GLISSE POINTE9 9.5WW", $77.99, Available, Unknown, https://www.ebay.com/itm/CAPEZIO-GLISSE-POINTE9-9-5WW/233630579402?hash=item366577baca:g:QKIAAOSwd4pe9ap3
"CAPEZIO GLISSE POINTE 11M", $78.99, Available, Unknown, https://www.ebay.com/itm/CAPEZIO-GLISSE-POINTE-11M/233630579403?hash=item366577bacb:g:j-cAAOSwzvde9ap4
"CAPEZIO GLISSE POINTE 11W", $78.99, Available, Unknown, https://www.ebay.com/itm/CAPEZIO-GLISSE-POINTE-11W/233630579362?hash=item366577baa2:g:RZQAAOSwXmpe9ap1
"CAPEZIO GLISSE POINTE 11.5W", $77.99, Available, Unknown, https://www.ebay.com/itm/CAPEZIO-GLISSE-POINTE-11-5W/233630579387?hash=item366577babb:g:AX8AAOSwqQpe9ap3
"CAPEZIO GLISSE POINTE 6.5W", $77.99, Available, Unknown, https://www.ebay.com/itm/CAPEZIO-GLISSE-POINTE-6-5W/233630579302?hash=item366577ba66:g:V1MAAOSwadhe9ap1
"CAPEZIO GLISSE POINTE 6M", $77.99, Available, Unknown, https://www.ebay.com/itm/CAPEZIO-GLISSE-POINTE-6M/233630579306?hash=item366577ba6a:g:r4UAAOSwrHNe9ap1
"CAPEZIO GLISSE POINTE 4W", $77.99, Available, Unknown, https://www.ebay.com/itm/CAPEZIO-GLISSE-POINTE-4W/233630579134?hash=item366577b9be:g:-FUAAOSwVmZe9apw
"CAPEZIO GLISSE POINTE 7W", $77.99, Available, Unknown, https://www.ebay.com/itm/CAPEZIO-GLISSE-POINTE-7W/233630579137?hash=item366577b9c1:g:lgoAAOSwoZte9apw
"CAPEZIO GLISSE POINTE 10w", $77.99, Available, Unknown, https://www.ebay.com/itm/CAPEZIO-GLISSE-POINTE-10w/233630579140?hash=item366577b9c4:g:MHAAAOSwCxBe9apw
