"title", price, sold, size, url
  AVAILABLE STATS for Brand: john galt   Items Scanned: 892   Total Items (Including sponsored): 896   Value (Without sponsored): $18295.81 
  SOLD STATS for Brand: john galt   Total Sold Items: 788   Value: $24144.54 
  Number of xsmall, small, medium, large, xlarge, unknown: 0, 227, 57, 11, 0, 1385
  TOTAL VALUE OF AVAILABLE AND SOLD ITEMS: $42440.345885593226
"John Galt hoodie", $20.00 $45.00, Available, Unknown, https://www.ebay.com/itm/John-Galt-hoodie/363030650236?hash=item5486501d7c:g:sakAAOSwS7xe8~04
"JOHN GALT California Black ribbed short sleeve stretchy shirt dress One Size", $24.00, Available, Unknown, https://www.ebay.com/itm/JOHN-GALT-California-Black-ribbed-short-sleeve-stretchy-shirt-dress-One-Size/333634909579?hash=item4dae30b58b:g:RWIAAOSwSCZcpQtZ:sc:USPSFirstClass!94024!US!-1
"JOHN GALT cut off jean shorts high waisted AI6", $25.00, Available, Unknown, https://www.ebay.com/itm/JOHN-GALT-cut-off-jean-shorts-high-waisted-AI6/254634510379?hash=item3b4966482b:g:XRwAAOSw-SVd4seA
"Brandy Melville John Galt White Off The Shoulder Romper One Size Beach Boho", $0.99, Available, Unknown, https://www.ebay.com/itm/Brandy-Melville-John-Galt-White-Off-The-Shoulder-Romper-One-Size-Beach-Boho/313126101808?hash=item48e7c52330:g:3nMAAOSw7t9e8-3a
"John Galt Yellow Crew Neck Sweatshirt, Size S Brandy Melville E.U.C", $4.28, Available, Unknown, https://www.ebay.com/itm/John-Galt-Yellow-Crew-Neck-Sweatshirt-Size-S-Brandy-Melville-E-U-C/303605226872?hash=item46b0481d78:g:4FwAAOSwwste7VU7
"light wash John Galt Brandy Melville mom jeans Size Medium, great quality!", $30.00 $60.00, Available, Medium, https://www.ebay.com/itm/light-wash-John-Galt-Brandy-Melville-mom-jeans-Size-Medium-great-quality/193535109608?hash=item2d0f9769e8:g:nw4AAOSwZV5ezvz6
"Brandy Melville John Galt White Long Sleeve Graphic Tee Womens Oversized Top", $15.00, Available, Unknown, https://www.ebay.com/itm/Brandy-Melville-John-Galt-White-Long-Sleeve-Graphic-Tee-Womens-Oversized-Top/402306436829?hash=item5dab550edd:g:NVsAAOSwku9e89uq
"Womens John Galt Top S", $5.00, Available, Unknown, https://www.ebay.com/itm/Womens-John-Galt-Top-S/254634458636?hash=item3b49657e0c:g:lTQAAOSwmZde2Xrv
"brandy melville crop top- john galt one size", $16.00, Available, Unknown, https://www.ebay.com/itm/brandy-melville-crop-top-john-galt-one-size/224056776204?hash=item342ad3160c:g:hjsAAOSwVn1e88Nj
"John Galt Alien Tshirt XS Preowned", $15.00, Available, Unknown, https://www.ebay.com/itm/John-Galt-Alien-Tshirt-XS-Preowned/274407602425?hash=item3fe3f7b8f9:g:gOYAAOSw32Ve4UA9
"Brandy Melville John galt black ribbed tank top women's To Hell And Back NWT", $32.00, Available, Unknown, https://www.ebay.com/itm/Brandy-Melville-John-galt-black-ribbed-tank-top-womens-To-Hell-And-Back-NWT/383605053381?hash=item5950a497c5:g:4ysAAOSwua1evIfr
"John Galt Grey tee", $8.00, Available, Unknown, https://www.ebay.com/itm/John-Galt-Grey-tee/133447221682?hash=item1f121301b2:g:CiYAAOSwYgle8wGf
"John Galt California Ladies Short (mini) Skirt, Size 8", $2.50, Available, Unknown, https://www.ebay.com/itm/John-Galt-California-Ladies-Short-mini-Skirt-Size-8/124234414723?hash=item1cecf2ba83:g:wiYAAOSwcFJe83Up
"John Galt Black Jean Shorts Waist 30"", $4.99, Available, Unknown, https://www.ebay.com/itm/John-Galt-Black-Jean-Shorts-Waist-30/264774817583?hash=item3da5cf172f:g:7ewAAOSwB4Je5m5t
"John Galt California High Waisted Sz 27/28 Denim Shorts", $4.10 $9.40, Available, Unknown, https://www.ebay.com/itm/John-Galt-California-High-Waisted-Sz-27-28-Denim-Shorts/184339855223?hash=item2aeb82f777:g:PmAAAOSwMkJe85K6
"John Galt Brandy Melville Women's ERICA Malibu Sweatshirt Gray One Size", $27.99, Available, Unknown, https://www.ebay.com/itm/John-Galt-Brandy-Melville-Womens-ERICA-Malibu-Sweatshirt-Gray-One-Size/333634596737?hash=item4dae2bef81:g:898AAOSwUIhe8Mx-
"John Galt Brandy Melville Long Sleeve Sweatshirt Yellow HONEY", $19.99, Available, Unknown, https://www.ebay.com/itm/John-Galt-Brandy-Melville-Long-Sleeve-Sweatshirt-Yellow-HONEY/333634596482?hash=item4dae2bee82:g:C-IAAOSw~~Re8M0B
"Brandy Melville John Galt High Rise Denim Shorts Button Fly Festival Size M", $11.50, Available, Unknown, https://www.ebay.com/itm/Brandy-Melville-John-Galt-High-Rise-Denim-Shorts-Button-Fly-Festival-Size-M/143639998995?hash=item21719c7213:g:tXAAAOSww8de84Uh
"brandy melville John Galt Sweatshirttop", $18.00, Available, Unknown, https://www.ebay.com/itm/brandy-melville-John-Galt-Sweatshirttop/153982286574?hash=item23da0f3aee:g:2vEAAOSwxjRe09Zl
"Preowned John Galt Junior Plaid Shorts From Brandy Melville", $4.25, Available, Unknown, https://www.ebay.com/itm/Preowned-John-Galt-Junior-Plaid-Shorts-From-Brandy-Melville/274407386038?hash=item3fe3f46bb6:g:htwAAOSwfA5e83rj
"John Galt Women Gray Long Sleeve Henley One Size", $21.99, Available, Unknown, https://www.ebay.com/itm/John-Galt-Women-Gray-Long-Sleeve-Henley-One-Size/293625272294?hash=item445d6e17e6:g:~QgAAOSwhkNe8ztz
"Brandy Melville John Galt Black Basic Denim Jean Shorts Rolled Hem Sz M", $19.99, Available, Unknown, https://www.ebay.com/itm/Brandy-Melville-John-Galt-Black-Basic-Denim-Jean-Shorts-Rolled-Hem-Sz-M/143639538962?hash=item2171956d12:g:khIAAOSwSwdeM9lO
"Brandy Melville John Galt Women's Black Basic Denim Jean Shorts Rolled Hem Sz M", $9.99, Available, Unknown, https://www.ebay.com/itm/Brandy-Melville-John-Galt-Womens-Black-Basic-Denim-Jean-Shorts-Rolled-Hem-Sz-M/143639538490?hash=item2171956b3a:g:khIAAOSwSwdeM9lO
"John Galt Black Denim Shorts High Waist Mini Jean Shorts Brandy Melville", $8.99, Available, Unknown, https://www.ebay.com/itm/John-Galt-Black-Denim-Shorts-High-Waist-Mini-Jean-Shorts-Brandy-Melville/143639538442?hash=item2171956b0a:g:Y~oAAOSwSCZeM-Zx
"Brandy Melville John Galt Black Denim Shorts High Waist Shorts Brandy Melville M", $9.99, Available, Unknown, https://www.ebay.com/itm/Brandy-Melville-John-Galt-Black-Denim-Shorts-High-Waist-Shorts-Brandy-Melville-M/143639538371?hash=item2171956ac3:g:c8YAAOSwAeBeM-eT
"John Galt Brandy Melville Women's Basic Crew Neck Shirt in Navy Size SMALL", $19.99, Available, Small, https://www.ebay.com/itm/John-Galt-Brandy-Melville-Womens-Basic-Crew-Neck-Shirt-in-Navy-Size-SMALL/133447223617?hash=item1f12130941:g:VXgAAOSwnpZe8wUb
"Brandy Melville John Galt Solid Mustard Yellow Crop Top T Shirt One Size", $8.00 $12.00, Available, Unknown, https://www.ebay.com/itm/Brandy-Melville-John-Galt-Solid-Mustard-Yellow-Crop-Top-T-Shirt-One-Size/224056089721?hash=item342ac89c79:g:caMAAOSw-Cte8wLc
"John Galt Brandy Melville Women's Hailie Baby Devil Jacket in White ONE SIZE", $39.99, Available, Unknown, https://www.ebay.com/itm/John-Galt-Brandy-Melville-Womens-Hailie-Baby-Devil-Jacket-in-White-ONE-SIZE/133447213841?hash=item1f1212e311:g:Je8AAOSwyIJe8v9H
"John Galt Brandy Melville Women's Rainbow Striped Crop Tee in Navy ONE SIZE", $9.99, Available, Unknown, https://www.ebay.com/itm/John-Galt-Brandy-Melville-Womens-Rainbow-Striped-Crop-Tee-in-Navy-ONE-SIZE/133447194503?hash=item1f12129787:g:9scAAOSwkCRe8vqL
"NWT John Galt - Brandy Melville Red Stripe Hailie Top (Size Small) Pac Sun Tee", $19.99, Available, Small, https://www.ebay.com/itm/NWT-John-Galt-Brandy-Melville-Red-Stripe-Hailie-Top-Size-Small-Pac-Sun-Tee/184339188287?hash=item2aeb78ca3f:g:45kAAOSwQbVezFZQ
"John Galt White Tank Butterfly (Size Small) High Neck Brandy Melville PAC SUN", $18.50, Available, Small, https://www.ebay.com/itm/John-Galt-White-Tank-Butterfly-Size-Small-High-Neck-Brandy-Melville-PAC-SUN/184339188294?hash=item2aeb78ca46:g:3CMAAOSwQaZezHIN
"*Lot of 2** John Galt, Pac Sun Denim Shorts (Size XS/23) Stripe Brandy Melville", $19.99, Available, Unknown, https://www.ebay.com/itm/Lot-of-2-John-Galt-Pac-Sun-Denim-Shorts-Size-XS-23-Stripe-Brandy-Melville/184339188314?hash=item2aeb78ca5a:g:aR4AAOSwtbBezGL0
"John galt striped button front crop top Size Small", $15.00, Available, Small, https://www.ebay.com/itm/John-galt-striped-button-front-crop-top-Size-Small/164260129367?hash=item263eaaaa57:g:ZHMAAOSwKThezet4
"Brandy Melville Button Down Black Ribbed John Galt Small", $35.00, Available, Small, https://www.ebay.com/itm/Brandy-Melville-Button-Down-Black-Ribbed-John-Galt-Small/402305566000?hash=item5dab47c530:g:79sAAOSw8WJe1wtx
"BRANDY MELVILLE / JOHN GALT ALEENA MOTOR SHOW CROP TOP OS", $8.50, Available, Unknown, https://www.ebay.com/itm/BRANDY-MELVILLE-JOHN-GALT-ALEENA-MOTOR-SHOW-CROP-TOP-OS/324208056825?hash=item4b7c4e59f9:g:A5cAAOSwkYVexfP9
"Brandy Melville John Galt Sweatshirt Navy Red White One Size", $28.00, Available, Unknown, https://www.ebay.com/itm/Brandy-Melville-John-Galt-Sweatshirt-Navy-Red-White-One-Size/133447005472?hash=item1f120fb520:g:7DgAAOSwmI9e77hq
"WOMEN'S/JUNIOR'S JOHN GALT BLACK & GRAY TIE-DYE RACER BACK TANK ONE SIZE", $6.23, Available, Unknown, https://www.ebay.com/itm/WOMENS-JUNIORS-JOHN-GALT-BLACK-GRAY-TIE-DYE-RACER-BACK-TANK-ONE-SIZE/233628314074?hash=item36655529da:g:s~MAAOSwasBe8pun
"John Galt Rainbow Cropped Top, One Size", $9.50, Available, Unknown, https://www.ebay.com/itm/John-Galt-Rainbow-Cropped-Top-One-Size/143639255737?hash=item2171911ab9:g:d5EAAOSwkF1e6V6n
"John Galt Honey Crew Neck Sweatshirt Yellow Size Medium", $20.00, Available, Medium, https://www.ebay.com/itm/John-Galt-Honey-Crew-Neck-Sweatshirt-Yellow-Size-Medium/392849805351?hash=item5b77ac5027:g:fKkAAOSwO41e8paD
"Cute John Galt Jeans Size M!", $25.00, Available, Unknown, https://www.ebay.com/itm/Cute-John-Galt-Jeans-Size-M/124233499591?hash=item1cece4c3c7:g:OaMAAOSw2pFeuzJx
"John Galt Long Sleeve Jersey T-Shirt One Size", $12.50, Available, Unknown, https://www.ebay.com/itm/John-Galt-Long-Sleeve-Jersey-T-Shirt-One-Size/293624719169?hash=item445d65a741:g:nfoAAOSw~y9dIkTF
"Brandy Melville John Galt Tilden Pants Navy Blue White Checked Gingham Sold Out", $22.00 $29.00, Available, Unknown, https://www.ebay.com/itm/Brandy-Melville-John-Galt-Tilden-Pants-Navy-Blue-White-Checked-Gingham-Sold-Out/143639225351?hash=item217190a407:g:v9wAAOSwatdexGAw
"brandy melville john galt butterfly sequin sparkle pullover crewneck shirt", $12.00 $34.00, Available, Unknown, https://www.ebay.com/itm/brandy-melville-john-galt-butterfly-sequin-sparkle-pullover-crewneck-shirt/324207927466?hash=item4b7c4c60aa:g:zEgAAOSwv-leqQ6F
"John Galt Brandy Melville Gray With Navy Trim Tshirt", $4.99, Available, Unknown, https://www.ebay.com/itm/John-Galt-Brandy-Melville-Gray-With-Navy-Trim-Tshirt/254633510354?hash=item3b495705d2:g:0FwAAOSw~INe6-nc
"John Galt /Brandy Melville Plaid Skirt One Size", $12.00, Available, Unknown, https://www.ebay.com/itm/John-Galt-Brandy-Melville-Plaid-Skirt-One-Size/274406701354?hash=item3fe3e9f92a:g:adwAAOSwCVZe8oJF
