"title", price, sold, url

  SOLD STATS for Brand: nike   Total Sold Items: 10200   Value: $0.00 
  TOTAL VALUE OF AVAILABLE AND SOLD ITEMS: $0.0
"Nike Air Max 1 One Huf Clot Apple Hufquake Off White Force 11 Jordan Atmos", $711.00, Sold, https://www.ebay.com/itm/Nike-Air-Max-1-One-Huf-Clot-Apple-Hufquake-Off-White-Force-11-Jordan-Atmos/124224539752?hash=item1cec5c0c68:g:IM8AAOSwNp1e6A65
"Men NIKE Windbreaker Black Full Zip Jacket Athletic Water Resistant Futura Small", $14.99, Sold, https://www.ebay.com/itm/Men-NIKE-Windbreaker-Black-Full-Zip-Jacket-Athletic-Water-Resistant-Futura-Small/324172430908?hash=item4b7a2ebe3c:g:oewAAOSwCIpexZT9
"Nike Mens Shirt Orange Peel Size XL Logo Dri-Fit Activewear Tank $30- 006", $14.99, Sold, https://www.ebay.com/itm/Nike-Mens-Shirt-Orange-Peel-Size-XL-Logo-Dri-Fit-Activewear-Tank-30-006/153975198280?hash=item23d9a31248:g:cTYAAOSwSSJe5CKY
"Nike Mens Activewear Tops Blue Size Large L Dri-Fit Wicking Short Sleeve $35 020", $14.99, Sold, https://www.ebay.com/itm/Nike-Mens-Activewear-Tops-Blue-Size-Large-L-Dri-Fit-Wicking-Short-Sleeve-35-020/373086907263?epid=16038893245&hash=item56ddb66b7f:g:WhoAAOSwgYde5CH4
"Nike Running Size 6 Girls Sneakers", $4.99, Sold, https://www.ebay.com/itm/Nike-Running-Size-6-Girls-Sneakers/233620434168?hash=item3664dcecf8:g:o8oAAOSwtgxeKbSW
"NWT Cooper Kupp Los Angeles Rams Nike Retro Game Jersey Size Mens XXL", $59.99 $79.99, Sold, https://www.ebay.com/itm/NWT-Cooper-Kupp-Los-Angeles-Rams-Nike-Retro-Game-Jersey-Size-Mens-XXL/224046882970?hash=item342a3c209a:g:1PQAAOSwZK5eOdvw
"Nike Air Max 270 Black University Gold Punch Size 10 AH8050-004", $114.99, Sold, https://www.ebay.com/itm/Nike-Air-Max-270-Black-University-Gold-Punch-Size-10-AH8050-004/324206901618?hash=item4b7c3cb972:g:7kUAAOSwHcxe8Sn8
"Nike Air Force 1 Low '07 AN20 White Black CJ0952-100 NIB Men's Size 10", $109.00, Sold, https://www.ebay.com/itm/Nike-Air-Force-1-Low-07-AN20-White-Black-CJ0952-100-NIB-Mens-Size-10/174321569188?epid=14037068081&hash=item2896600da4:g:Q34AAOSwNgpe6-8b
"Nike Air Force 1 High 07' LV8 3 "REALTREE" Mens AO2410 100 Size 7", $120.00, Sold, https://www.ebay.com/itm/Nike-Air-Force-1-High-07-LV8-3-REALTREE-Mens-AO2410-100-Size-7/333630359055?epid=8035809362&hash=item4dadeb460f:g:cioAAOSwspde7Wp5
"Nike Men's Kobe Mamba Focus Anthracite black yellow size 14 DISCONTINUED", $110.00, Sold, https://www.ebay.com/itm/Nike-Mens-Kobe-Mamba-Focus-Anthracite-black-yellow-size-14-DISCONTINUED/352989566346?epid=6034628215&hash=item522fd1558a:g:09wAAOSwG8NeoaI5
"Nike Mens Sportswear Club Casual Fleece Jogger Sweatpants Size Large 804408-063", $20.00 $28.00, Sold, https://www.ebay.com/itm/Nike-Mens-Sportswear-Club-Casual-Fleece-Jogger-Sweatpants-Size-Large-804408-063/184332357626?hash=item2aeb108ffa:g:dMYAAOSwWbFe4R15
"nike air jordan 1 retro high og top 3 size 11.5", $280.00, Sold, https://www.ebay.com/itm/nike-air-jordan-1-retro-high-og-top-3-size-11-5/363027051360?hash=item5486193360:g:lXMAAOSwsi5e7scn
"womens lot shorts Small running Tennis 1/2 zip hoodie Nike Under Armour 642669", $17.99, Sold, https://www.ebay.com/itm/womens-lot-shorts-Small-running-Tennis-1-2-zip-hoodie-Nike-Under-Armour-642669/224047419087?hash=item342a444ecf:g:bXIAAOSwyz5e3SWz
"Nike Jersey TShirt XL Men's Short Sleeve Green", $17.99, Sold, https://www.ebay.com/itm/Nike-Jersey-TShirt-XL-Mens-Short-Sleeve-Green/183741068310?hash=item2ac7d23416:g:YFUAAOSw7lNcavsG
"Womens Size 8-10 Blue Nike Capri Leggings", $14.99, Sold, https://www.ebay.com/itm/Womens-Size-8-10-Blue-Nike-Capri-Leggings/224046882638?hash=item342a3c1f4e:g:BOIAAOSwSQRdI~Ul
"New Men's Nike Marxman Premium Basketball Shoe Size 11 Racer Blue 832766-400", $49.99, Sold, https://www.ebay.com/itm/New-Mens-Nike-Marxman-Premium-Basketball-Shoe-Size-11-Racer-Blue-832766-400/324193401189?epid=1873983604&hash=item4b7b6eb965:g:0j0AAOSwB21e4B2~
"Nike Kyrie Irving 3 Black Ice", $45.00 $65.00, Sold, https://www.ebay.com/itm/Nike-Kyrie-Irving-3-Black-Ice/203026273063?hash=item2f454f1327:g:F2wAAOSwepde5Ck6
"Nike Air Force 1 BE TRUE Men size 5/SZ 6.5 WMNS CONFIRMED Sold Out New One", $189.99, Sold, https://www.ebay.com/itm/Nike-Air-Force-1-BE-TRUE-Men-size-5-SZ-6-5-WMNS-CONFIRMED-Sold-Out-New-One/283923289574?epid=13039052270&hash=item421b2595e6:g:Er4AAOSwY3Ve8L0i
"boys nike windbreaker", $5.00, Sold, https://www.ebay.com/itm/boys-nike-windbreaker/164249956100?hash=item263e0f6f04:g:aaIAAOSwqjBe6sF2
"nike original Six Hoodie", $19.50, Sold, https://www.ebay.com/itm/nike-original-Six-Hoodie/184330134709?hash=item2aeaeea4b5:g:Rm4AAOSwUvheKNQM
"Nike Air Max 90 We Run the Moon Lift Off Shirt Mens L White 619533-100", $24.99, Sold, https://www.ebay.com/itm/Nike-Air-Max-90-We-Run-the-Moon-Lift-Off-Shirt-Mens-L-White-619533-100/233596062991?hash=item3663690d0f:g:kM4AAOSw339eleXQ
"NIKE MEN'S FIT THERMA HOODIE XL", $12.99, Sold, https://www.ebay.com/itm/NIKE-MENS-FIT-THERMA-HOODIE-XL/193517027966?hash=item2d0e83827e:g:PvoAAOSwMkJe5gZ~
"Nike Air Max Plus SE Running Men's Shoes AJ2013-100 Black White Volt Size 8-13", $139.99, Sold, https://www.ebay.com/itm/Nike-Air-Max-Plus-SE-Running-Mens-Shoes-AJ2013-100-Black-White-Volt-Size-8-13/184326568462?hash=item2aeab83a0e:g:zvsAAOSw~7le49hY
"Nike Dunk Low Laser One Piece "Urban Park Pack" - Size 10.5 - Japan Exclusive", $89.00 $200.00, Sold, https://www.ebay.com/itm/Nike-Dunk-Low-Laser-One-Piece-Urban-Park-Pack-Size-10-5-Japan-Exclusive/124224591974?hash=item1cec5cd866:g:HasAAOSwDFxe6B5K
"NIKE ROSHE G TOUR GOLF SHOES MENS SIZE 12 WHITE INDIGO BLUE AR5580-101", $59.99, Sold, https://www.ebay.com/itm/NIKE-ROSHE-G-TOUR-GOLF-SHOES-MENS-SIZE-12-WHITE-INDIGO-BLUE-AR5580-101/283879773153?hash=item42188d93e1:g:c~8AAOSw76hepgYQ
"NWT Nike Dry Women's Plus Size 3'' Dry Tempo Running Shorts Black Size 1X 847761", $19.99, Sold, https://www.ebay.com/itm/NWT-Nike-Dry-Womens-Plus-Size-3-Dry-Tempo-Running-Shorts-Black-Size-1X-847761/293623493980?hash=item445d52f55c:g:2WoAAOSw2ide8TZN
"Nike Men's Activewear Tops Size Small S Dri-Fit Victory Golf Polo Shirt $55 411", $19.99, Sold, https://www.ebay.com/itm/Nike-Mens-Activewear-Tops-Size-Small-S-Dri-Fit-Victory-Golf-Polo-Shirt-55-411/373086906966?hash=item56ddb66a56:g:RgAAAOSwY3Ve5CN~
"Nike Shox Zipsister 344949 Women Athletic shoes. Size 8.5 Running Black Purple", $19.99 $74.99, Sold, https://www.ebay.com/itm/Nike-Shox-Zipsister-344949-Women-Athletic-shoes-Size-8-5-Running-Black-Purple/224046881343?hash=item342a3c1a3f:g:rEkAAOSwRu5e3pWI
"Pre-owned in Nike Dri Fit Women’s Tank Top Size Small", $9.00, Sold, https://www.ebay.com/itm/Pre-owned-in-Nike-Dri-Fit-Women-s-Tank-Top-Size-Small/303597474651?hash=item46afd1d35b:g:Bl8AAOSwL0xe6B44
"Nike Air MAX 1 Ultra Moire Platinum White Gum 705297-111 Sz 12 Rare *worn once", $125.00, Sold, https://www.ebay.com/itm/Nike-Air-MAX-1-Ultra-Moire-Platinum-White-Gum-705297-111-Sz-12-Rare-worn-once/392835749271?hash=item5b76d5d597:g:FJsAAOSwyVZe47w1
"Ohio State OSU Buckeyes short sleeve Nike thsirt Red EUC Large", $7.99, Sold, https://www.ebay.com/itm/Ohio-State-OSU-Buckeyes-short-sleeve-Nike-thsirt-Red-EUC-Large/114260854581?hash=item1a9a7a4735:g:41cAAOSwiT5dfuZG
"Nike Dri-Fit Sleeveless Running Shirt Women’s Size S", $7.00, Sold, https://www.ebay.com/itm/Nike-Dri-Fit-Sleeveless-Running-Shirt-Women-s-Size-S/193526680582?hash=item2d0f16cc06:g:GrUAAOSwsvhe7VMt
"NIKE Men's Shirt Size XL red "Only One Can Win" short sleeve regular fit cotton", $17.99, Sold, https://www.ebay.com/itm/NIKE-Mens-Shirt-Size-XL-red-Only-One-Can-Win-short-sleeve-regular-fit-cotton/114197383585?hash=item1a96b1c9a1:g:ZiYAAOSwVvpZlllP
"Nike Air Jordan 12 XII Retro Black Nylon Neoprene Size 9.5 130690-004", $209.99, Sold, https://www.ebay.com/itm/Nike-Air-Jordan-12-XII-Retro-Black-Nylon-Neoprene-Size-9-5-130690-004/324202708528?hash=item4b7bfcbe30:g:DmgAAOSwZI1e66gg
"Nike Air Max 1 One Huf Clot Apple Hufquake Off White Force 11 Jordan Atmos", $405.00, Sold, https://www.ebay.com/itm/Nike-Air-Max-1-One-Huf-Clot-Apple-Hufquake-Off-White-Force-11-Jordan-Atmos/114260788087?hash=item1a9a794377:g:71oAAOSwY2pe6A48
"NEW!! Nike SB Team Classic Skate Shoes Men's Size: 10 Black/White AH3360 003", $56.95, Sold, https://www.ebay.com/itm/NEW-Nike-SB-Team-Classic-Skate-Shoes-Mens-Size-10-Black-White-AH3360-003/153878887457?hash=item23d3e57c21:g:UK8AAOSws6teckdu
"Nike Golf Medium M Blue Men's Short-Sleeve Athletic Polo Shirt Stretch Blue", $15.00, Sold, https://www.ebay.com/itm/Nike-Golf-Medium-M-Blue-Mens-Short-Sleeve-Athletic-Polo-Shirt-Stretch-Blue/324201856462?hash=item4b7befbdce:g:HdwAAOSw7Rde6pUi
"womens nike tank top small", $2.90, Sold, https://www.ebay.com/itm/womens-nike-tank-top-small/153973047095?hash=item23d9823f37:g:jk0AAOSwMVZe6B5U
"Nike ACG All Conditions Gear 3 Outer Layer Storm Fit Winter Jacket Size Mens M", $100.00, Sold, https://www.ebay.com/itm/Nike-ACG-All-Conditions-Gear-3-Outer-Layer-Storm-Fit-Winter-Jacket-Size-Mens-M/392840055450?hash=item5b77178a9a:g:TrMAAOSwDB1e6B4X
"Nike Dri-Fit Ladies M Capri Leggings Multi Color And Black", $5.99 $19.99, Sold, https://www.ebay.com/itm/Nike-Dri-Fit-Ladies-M-Capri-Leggings-Multi-Color-And-Black/392840055438?hash=item5b77178a8e:g:WnsAAOSwz3Je2SEa
"Nike Kids Hustle 08 Basketball Black Leather Sneakers Size 4.5", $20.00, Sold, https://www.ebay.com/itm/Nike-Kids-Hustle-08-Basketball-Black-Leather-Sneakers-Size-4-5/174321539903?hash=item28965f9b3f:g:caIAAOSwfaZe6-MW
"Nike Air Max 95 Essential Anthracite Black Wolf Grey Size 9 Brand New AT9865-008", $124.99, Sold, https://www.ebay.com/itm/Nike-Air-Max-95-Essential-Anthracite-Black-Wolf-Grey-Size-9-Brand-New-AT9865-008/164226133775?epid=3038243757&hash=item263ca3ef0f:g:tTEAAOSwr15e07zd
"Nike Womens Leopard Gym Shoes Lot Of 3", $49.00 $95.00, Sold, https://www.ebay.com/itm/Nike-Womens-Leopard-Gym-Shoes-Lot-Of-3/114260854319?hash=item1a9a7a462f:g:PdsAAOSwmaBewzLi
"Nike Air Skylon 2 II Size 11.5 AO1551-003 Grey Volt Grape Vnds", $100.00, Sold, https://www.ebay.com/itm/Nike-Air-Skylon-2-II-Size-11-5-AO1551-003-Grey-Volt-Grape-Vnds/293614814649?hash=item445cce85b9:g:ApcAAOSwv-lelMxT
"Nike Men's Mayfly Woven “Cool Grey” Shoes Men’s Size 13 833132-004 Sneakers", $39.95, Sold, https://www.ebay.com/itm/Nike-Mens-Mayfly-Woven-Cool-Grey-Shoes-Men-s-Size-13-833132-004-Sneakers/203000054049?epid=772589351&hash=item2f43bf0121:g:5ZIAAOSwRuheyZcz
"NIKE KYRIE 5 TB (TEAM) MENS BASKETBALL SHOE", $45.00 $75.00, Sold, https://www.ebay.com/itm/NIKE-KYRIE-5-TB-TEAM-MENS-BASKETBALL-SHOE/383591693027?epid=10038048760&hash=item594fd8bae3:g:354AAOSwknVe1ag7
"Nike Dualtone Racer (GS) White Pure Platinum 917648 102 Running Shoes Size 5y", $17.00, Sold, https://www.ebay.com/itm/Nike-Dualtone-Racer-GS-White-Pure-Platinum-917648-102-Running-Shoes-Size-5y/124224590383?hash=item1cec5cd22f:g:4mgAAOSwuRpezG5t
"Ladies Nike Jacket XL", $7.99 $10.99, Sold, https://www.ebay.com/itm/Ladies-Nike-Jacket-XL/124224590349?hash=item1cec5cd20d:g:BlIAAOSwWapeiKyc
"Nike Air Zoom Pegasus 35 Black White Running Shoes 942855-001 Women Size 6.5", $25.00, Sold, https://www.ebay.com/itm/Nike-Air-Zoom-Pegasus-35-Black-White-Running-Shoes-942855-001-Women-Size-6-5/333632647898?hash=item4dae0e32da:g:QsUAAOSwjW5e7BIu
"Nike Huarache E.D.G.E. TXT Black/Vast Grey-Game Royal AO1697-001 Men Size 9", $35.00, Sold, https://www.ebay.com/itm/Nike-Huarache-E-D-G-E-TXT-Black-Vast-Grey-Game-Royal-AO1697-001-Men-Size-9/233626958638?hash=item3665407b2e:g:9jwAAOSw4CRe6XRd
"Nike Epic React Flyknit 2 Pure Platinum Running Shoe BQ8927-004 Women Size 7", $40.00, Sold, https://www.ebay.com/itm/Nike-Epic-React-Flyknit-2-Pure-Platinum-Running-Shoe-BQ8927-004-Women-Size-7/333632647903?epid=20039088277&hash=item4dae0e32df:g:LYQAAOSwQcpe5CNS
"Nike Air Max Invigor SL Navy Black Running Shoes 844793-400 Men Size 10", $40.00, Sold, https://www.ebay.com/itm/Nike-Air-Max-Invigor-SL-Navy-Black-Running-Shoes-844793-400-Men-Size-10/333632647904?hash=item4dae0e32e0:g:Y7sAAOSwFbFe6W0V
"boys toddler nike pants and shirt", $5.00, Sold, https://www.ebay.com/itm/boys-toddler-nike-pants-and-shirt/164249952381?hash=item263e0f607d:g:FFUAAOSwQR1e6sDd
"Nike React Element 55 Sunburst White Yellow Green Shoes CK9288-100 Men size 10.5", $45.00, Sold, https://www.ebay.com/itm/Nike-React-Element-55-Sunburst-White-Yellow-Green-Shoes-CK9288-100-Men-size-10-5/233626958641?hash=item3665407b31:g:Z~MAAOSwmBBe7S32
"Nike LeBron Soldier 12 XII SFG Team Red Gum Basketball Shoes AO4054-600 Size 8.5", $45.00, Sold, https://www.ebay.com/itm/Nike-LeBron-Soldier-12-XII-SFG-Team-Red-Gum-Basketball-Shoes-AO4054-600-Size-8-5/233626958646?epid=25039082654&hash=item3665407b36:g:8T4AAOSwzvde5YKk
"Nike KD10 Laceless Igloo 2017 Basketball Shoes RARE PROMO Men Size 17", $100.00, Sold, https://www.ebay.com/itm/Nike-KD10-Laceless-Igloo-2017-Basketball-Shoes-RARE-PROMO-Men-Size-17/233626958664?hash=item3665407b48:g:o0AAAOSwqSteX0Mi
"Nike Air Max 95 Grey Fresh Mint Athletic Running Shoes CD7495-101 Men Size 11.5", $75.00, Sold, https://www.ebay.com/itm/Nike-Air-Max-95-Grey-Fresh-Mint-Athletic-Running-Shoes-CD7495-101-Men-Size-11-5/333632647139?hash=item4dae0e2fe3:g:XvsAAOSwS3Be7Sk2
"NIke Air Max 95 Essential White/Bright Crimson-Black 749766-112 Men Size 10.5", $75.00, Sold, https://www.ebay.com/itm/NIke-Air-Max-95-Essential-White-Bright-Crimson-Black-749766-112-Men-Size-10-5/333632647888?hash=item4dae0e32d0:g:Ab0AAOSwvhte4nU9
"Nike Zoom Pegasus Turbo 2 Special Edition Black BV7758-001 Men Size 14", $50.00, Sold, https://www.ebay.com/itm/Nike-Zoom-Pegasus-Turbo-2-Special-Edition-Black-BV7758-001-Men-Size-14/333632647908?hash=item4dae0e32e4:g:rbsAAOSwVpRe5aSm
"Nike Air Skylon 2 II Size 11.5 AO1551-001 Blue Lagoon Vnds", $100.00, Sold, https://www.ebay.com/itm/Nike-Air-Skylon-2-II-Size-11-5-AO1551-001-Blue-Lagoon-Vnds/293614814550?hash=item445cce8556:g:cGwAAOSwx9pelM~h
"Nike Golf Dri-fit Tour Performance Khaki Shorts Size 38 X 11", $24.99, Sold, https://www.ebay.com/itm/Nike-Golf-Dri-fit-Tour-Performance-Khaki-Shorts-Size-38-X-11/224046879833?hash=item342a3c1459:g:AOEAAOSwPY5ezGyx
"NIKE GOLF TIGER WOODS Short Sleeve Polo Shirt 689482 Blue Gradient Medium M", $39.99, Sold, https://www.ebay.com/itm/NIKE-GOLF-TIGER-WOODS-Short-Sleeve-Polo-Shirt-689482-Blue-Gradient-Medium-M/203024587478?hash=item2f45355ad6:g:gh0AAOSwX09e6vGu
"Nike Air Vintage Red & Black Windbreaker Track Jacket sz XL Bred L Running", $32.99, Sold, https://www.ebay.com/itm/Nike-Air-Vintage-Red-Black-Windbreaker-Track-Jacket-sz-XL-Bred-L-Running/272817987280?hash=item3f85381ed0:g:BCgAAOSwqMFZndlU
"Youth Nike Air Flight Jordan 23 Fashion Sneakers Shoes Black & Pink Size 6Y", $21.10, Sold, https://www.ebay.com/itm/Youth-Nike-Air-Flight-Jordan-23-Fashion-Sneakers-Shoes-Black-Pink-Size-6Y/224026849705?hash=item34290a71a9:g:nmcAAOSwofVe0B~1
"Nike Women's Dry Tempo Running Shorts Royal/White, X-Small 831558-480", $4.50, Sold, https://www.ebay.com/itm/Nike-Womens-Dry-Tempo-Running-Shorts-Royal-White-X-Small-831558-480/233626364770?hash=item3665376b62:g:OHAAAOSw1PxezwVK
"NIKE WOMENS Shoes Air Max 90 - Bright Crimson & Platinum - CT3449-600", $220.91, Sold, https://www.ebay.com/itm/NIKE-WOMENS-Shoes-Air-Max-90-Bright-Crimson-Platinum-CT3449-600/174182851582?hash=item288e1b63fe:g:WeMAAOSwK~teO3NS
"Nike WOMEN'S Sportswear Down-Fill REVERSIBLE Vest SIZE M NWT Guava Ice", $64.00, Sold, https://www.ebay.com/itm/Nike-WOMENS-Sportswear-Down-Fill-REVERSIBLE-Vest-SIZE-M-NWT-Guava-Ice/133439678138?hash=item1f119fe6ba:g:1DEAAOSwcwRe1aYS
"NIKE WOMENS Shoes Air Max 90 - White, Grey, Rose & Black - CD0490-102", $135.14, Sold, https://www.ebay.com/itm/NIKE-WOMENS-Shoes-Air-Max-90-White-Grey-Rose-Black-CD0490-102/184188618898?hash=item2ae27f4892:g:9H8AAOSwf1ReV8Ou
"Boys' Size 5-8 Clothing Lot--Mostly Shirts/Shorts--Nike, Puma, Adidas + more", $36.00, Sold, https://www.ebay.com/itm/Boys-Size-5-8-Clothing-Lot-Mostly-Shirts-Shorts-Nike-Puma-Adidas-more/184332352032?hash=item2aeb107a20:g:b8wAAOSwwCNe6rsK
"NIKE Small Hot Pink And Gray Workout Racerback Cotton Tank Top Athletic wear", $9.99 $19.90, Sold, https://www.ebay.com/itm/NIKE-Small-Hot-Pink-And-Gray-Workout-Racerback-Cotton-Tank-Top-Athletic-wear/264762137025?hash=item3da50d99c1:g:O8sAAOSwFwRe0W4D
"Mens Nike Dri-Fit Tour Performance Casual Golf Shorts Size 34 Beige", $14.99, Sold, https://www.ebay.com/itm/Mens-Nike-Dri-Fit-Tour-Performance-Casual-Golf-Shorts-Size-34-Beige/303576335456?hash=item46ae8f4460:g:5sMAAOSwKFpeyRtZ
"Nike Air Max 270 Mens Size 11.5 Ruining Shoes BV6078 600 Red Orbit Black Grey", $139.99, Sold, https://www.ebay.com/itm/Nike-Air-Max-270-Mens-Size-11-5-Ruining-Shoes-BV6078-600-Red-Orbit-Black-Grey/353113811853?hash=item5237392b8d:g:KMcAAOSwqehe7spf
"Nike Canvas Gray White Air Force 1 AF1 Low Men's US 10.5 No Box", $28.00, Sold, https://www.ebay.com/itm/Nike-Canvas-Gray-White-Air-Force-1-AF1-Low-Mens-US-10-5-No-Box/124224589354?hash=item1cec5cce2a:g:diAAAOSwVn1e3uKK
"Rare Nike Men's Air Jordan Classics T-Shirt Black/Gold BV5905-013 Size XL", $31.99, Sold, https://www.ebay.com/itm/Rare-Nike-Mens-Air-Jordan-Classics-T-Shirt-Black-Gold-BV5905-013-Size-XL/124231104506?epid=8039187128&hash=item1cecc037fa:g:mL4AAOSwvmteE-mQ
"Nike T shirt mens gray 2XL short sleeve EUC", $6.99, Sold, https://www.ebay.com/itm/Nike-T-shirt-mens-gray-2XL-short-sleeve-EUC/114260853777?hash=item1a9a7a4411:g:viUAAOSws6ldJ~rD
"Boys Nike Lot Of 6 Shorts And T-Shirts Size Small", $24.99, Sold, https://www.ebay.com/itm/Boys-Nike-Lot-Of-6-Shorts-And-T-Shirts-Size-Small/174325849061?hash=item2896a15be5:g:~nEAAOSw8nte8QwV
"Nike Sc Trainer Bo Jackson Samurai Pack Size 10 Rare Nike", $64.99 $105.00, Sold, https://www.ebay.com/itm/Nike-Sc-Trainer-Bo-Jackson-Samurai-Pack-Size-10-Rare-Nike/133439677946?hash=item1f119fe5fa:g:drgAAOSweLZebZm8
"Nike SB Dunk Low Pushead 1", $550.00, Sold, https://www.ebay.com/itm/Nike-SB-Dunk-Low-Pushead-1/373085257733?hash=item56dd9d4005:g:ZxUAAOSwgQZe6L1j
"Nike Pro Red/Blue Men Athletic Wear Matching Shirt And Leggings Worn Once Size L", $10.50, Sold, https://www.ebay.com/itm/Nike-Pro-Red-Blue-Men-Athletic-Wear-Matching-Shirt-And-Leggings-Worn-Once-Size-L/184330133028?hash=item2aeaee9e24:g:ExgAAOSwz-Re6Bwr
"Nike Dri-Fit Girls Running Shorts Black Moisture Wicking Elastic Waist Medium", $5.00, Sold, https://www.ebay.com/itm/Nike-Dri-Fit-Girls-Running-Shorts-Black-Moisture-Wicking-Elastic-Waist-Medium/193519921579?hash=item2d0eafa9ab:g:nLkAAOSw9Ide6By2
"Men's NIKE Metcon Flyknit 3 Traning Shoes AQ8022-001 Sz:8.5 (191887600824)!", $74.99, Sold, https://www.ebay.com/itm/Mens-NIKE-Metcon-Flyknit-3-Traning-Shoes-AQ8022-001-Sz-8-5-191887600824/254433388914?hash=item3b3d696972:g:mvoAAOSwqR5dyrsv
"Nike Air Barrage Mid Cabana White AT7847 001 SIZE 10.5", $114.99, Sold, https://www.ebay.com/itm/Nike-Air-Barrage-Mid-Cabana-White-AT7847-001-SIZE-10-5/353113659058?hash=item523736d6b2:g:I5AAAOSwmyle7oFx
"100% Authentic Nike Air Jordan 1 Retro Low OG Royal 2015 Bred Mens DS 11 No Box", $355.00, Sold, https://www.ebay.com/itm/100-Authentic-Nike-Air-Jordan-1-Retro-Low-OG-Royal-2015-Bred-Mens-DS-11-No-Box/174321516912?hash=item28965f4170:g:vH0AAOSw-2xe69ht
"2006 Nike SB dunk low SBTG", $500.00, Sold, https://www.ebay.com/itm/2006-Nike-SB-dunk-low-SBTG/373089777089?hash=item56dde235c1:g:phIAAOSwo8te6EO3
