"title", price, sold, size, url
  AVAILABLE STATS for Brand: stio   Items Scanned: 361   Total Items (Including sponsored): 375   Value (Without sponsored): $17081.16 
  SOLD STATS for Brand: stio   Total Sold Items: 303   Value: $17482.80 
  TOTAL VALUE OF AVAILABLE AND SOLD ITEMS: $34563.96020606489
"Stio Stillwater Supply Co. Men's Rambler Reversible Gray Plaid Jacket Medium EUC", $52.89, Available, Medium, https://www.ebay.com/itm/Stio-Stillwater-Supply-Co-Mens-Rambler-Reversible-Gray-Plaid-Jacket-Medium-EUC/184339128188?hash=item2aeb77df7c:g:DwoAAOSw3npe8sJk
"Stio Ski Pants "Blue" Waterproof Breathable Fabric sz Medium NWT", $185.75, Available, Medium, https://www.ebay.com/itm/Stio-Ski-Pants-Blue-Waterproof-Breathable-Fabric-sz-Medium-NWT/264773446352?hash=item3da5ba2ad0:g:mYcAAOSwo8te8izw:sc:USPSFirstClass!94024!US!-1
"Black Underwire Bikini Stio Black size Large", $10.00, Available, Large, https://www.ebay.com/itm/Black-Underwire-Bikini-Stio-Black-size-Large/233627943890?hash=item36654f83d2:g:oz8AAOSwqHtelKrC
"Stio NWT Women's XS 1160 W's Hometown down coat Gray/Silver w/Blue lining", $144.00, Available, Unknown, https://www.ebay.com/itm/Stio-NWT-Womens-XS-1160-Ws-Hometown-down-coat-Gray-Silver-w-Blue-lining/283924420177?hash=item421b36d651:g:S60AAOSw0NZeOy~1
"STIO “Rivet Stretch” Canvas Pants", $30.00, Available, Unknown, https://www.ebay.com/itm/STIO-Rivet-Stretch-Canvas-Pants/143638807439?hash=item21718a438f:g:FakAAOSwL0Je8fbE
"2019 Topps Allen & Ginter - Vincent Stio - Yankees Famous Umpire Fan", $2.10, Available, Unknown, https://www.ebay.com/itm/2019-Topps-Allen-Ginter-Vincent-Stio-Yankees-Famous-Umpire-Fan/153980846899?hash=item23d9f94333:g:ZZ8AAOSw6xZe5d14
"NEW Stio Trucker Hat Red Fishing Foam Flat Bill One Size", $20.00, Available, Unknown, https://www.ebay.com/itm/NEW-Stio-Trucker-Hat-Red-Fishing-Foam-Flat-Bill-One-Size/324206887432?hash=item4b7c3c8208:g:5TAAAOSw1dVekorY
"BRIAN HYLAND Tragedy / You'd Better Stio... 45 7" single 1968 UK VG+/EX-", $9.99, Available, Unknown, https://www.ebay.com/itm/BRIAN-HYLAND-Tragedy-Youd-Better-Stio-45-7-single-1968-UK-VG-EX/313123365163?hash=item48e79b612b:g:xSYAAOSwrkJe8Kva
"2019 Topps Allen & Ginter's Mini Non-Baseball Vincent Stio #MA-VS Rookie Auto", $17.79, Available, Unknown, https://www.ebay.com/itm/2019-Topps-Allen-Ginters-Mini-Non-Baseball-Vincent-Stio-MA-VS-Rookie-Auto/233626877825?hash=item36653f3f81:g:A9sAAOSwzMFe8K2B
"2019 Topps Allen & Ginter - Mini Black - #156 - Vincent Stio", $1.00, Available, Unknown, https://www.ebay.com/itm/2019-Topps-Allen-Ginter-Mini-Black-156-Vincent-Stio/184336690745?hash=item2aeb52ae39:g:Qy0AAOSw0PpepfZu
"NWT Stio Sweetwater Fleece Full Zip Sweater Poncho Jacket Sweater Gray M/L $179", $59.99, Available, Unknown, https://www.ebay.com/itm/NWT-Stio-Sweetwater-Fleece-Full-Zip-Sweater-Poncho-Jacket-Sweater-Gray-M-L-179/143637505699?hash=item21717666a3:g:D84AAOSwTx1exxhH
"Women's STIO Down Vest, Size S, Free Ship", $68.00, Available, Unknown, https://www.ebay.com/itm/Womens-STIO-Down-Vest-Size-S-Free-Ship/224053206126?hash=item342a9c9c6e:g:4ZgAAOSwiYleXZ40
"Men's STIO Fleece Full Zip Jacket ~ Large ~ Gray ~ NICE", $39.99, Available, Large, https://www.ebay.com/itm/Mens-STIO-Fleece-Full-Zip-Jacket-Large-Gray-NICE/184336560250?hash=item2aeb50b07a:g:9cEAAOSwiwdeK03G
"2019 Allen & Ginter Vincent Stio And Mike Oz RELIC (2) CARD LOT!", $9.99, Available, Unknown, https://www.ebay.com/itm/2019-Allen-Ginter-Vincent-Stio-And-Mike-Oz-RELIC-2-CARD-LOT/353114469243?hash=item523743337b:g:k5MAAOSwMMNe766Q
"Sick Flexi Soft FX03-XTIO 84002 + FX0-STIO 68002 (2 units) = TOTAL 3 UNITS", $120.00 $180.00, Available, Unknown, https://www.ebay.com/itm/Sick-Flexi-Soft-FX03-XTIO-84002-FX0-STIO-68002-2-units-TOTAL-3-UNITS/353114420868?hash=item5237427684:g:2~UAAOSwtYxeVCzB
"Stio Ladies Pants Size 8", $15.99, Available, Unknown, https://www.ebay.com/itm/Stio-Ladies-Pants-Size-8/184336203883?hash=item2aeb4b406b:g:n9UAAOSwgopeynXA
"Stio NWT Women's XS 1160 W's Hometown down coat Gray/Silver w/Blue lining", $144.00 $188.00, Available, Unknown, https://www.ebay.com/itm/Stio-NWT-Womens-XS-1160-Ws-Hometown-down-coat-Gray-Silver-w-Blue-lining/283921975488?hash=item421b1188c0:g:S60AAOSw0NZeOy~1
"STIO jackson hole wyoming olive green 2040 1112 pants 32 x 27", $23.08, Available, Unknown, https://www.ebay.com/itm/STIO-jackson-hole-wyoming-olive-green-2040-1112-pants-32-x-27/324205115346?hash=item4b7c2177d2:g:hDcAAOSwel9eXE79
"Stio Women's Rivet Cord 6", $25.00, Available, Unknown, https://www.ebay.com/itm/Stio-Womens-Rivet-Cord-6/143636800051?hash=item21716ba233:g:zSwAAOSwkZlevrWH
"2019 Allen and Ginter Gold SP Foil #156 Vincent Stio Umpire Fan", $1.00, Available, Unknown, https://www.ebay.com/itm/2019-Allen-and-Ginter-Gold-SP-Foil-156-Vincent-Stio-Umpire-Fan/114267114707?hash=item1a9ad9ccd3:g:Ku4AAOSwxZteq6r-
"2019 Allen And Ginter Vincent Stio Shirt", $2.00, Available, Unknown, https://www.ebay.com/itm/2019-Allen-And-Ginter-Vincent-Stio-Shirt/153977360192?hash=item23d9c40f40:g:X~oAAOSwt9Beo5Wg
"2019 TOPPS ALLEN & GINTER SINGLES W/RC'S ***YOU PICK*** #'S 150 - 300", $0.99, Available, Unknown, https://www.ebay.com/itm/2019-TOPPS-ALLEN-GINTER-SINGLES-W-RCS-YOU-PICK-S-150-300/164251911588?hash=item263e2d45a4:g:u18AAOSw9KZe7AmE
"Stio Women’s Pinedale Pant Size 2 Elmwood Khaki Tan Hiking", $89.97 $116.97, Available, Unknown, https://www.ebay.com/itm/Stio-Women-s-Pinedale-Pant-Size-2-Elmwood-Khaki-Tan-Hiking/283918898366?hash=item421ae294be:g:3coAAOSwX2tea45C
"2019 Topps Allen and Ginter Assorted Mini (A5887) - You Pick - 10+ FREE SHIP", $1.99, Available, Unknown, https://www.ebay.com/itm/2019-Topps-Allen-and-Ginter-Assorted-Mini-A5887-You-Pick-10-FREE-SHIP/233622454434?hash=item3664fbc0a2:g:SrMAAOSwtzle6rND
"2019 Topps Allen and Ginter Card #s 1-250 (A5887) - You Pick - 10+ FREE SHIP", $0.99, Available, Unknown, https://www.ebay.com/itm/2019-Topps-Allen-and-Ginter-Card-s-1-250-A5887-You-Pick-10-FREE-SHIP/233622437554?hash=item3664fb7eb2:g:6xYAAOSwWVxe6q7y
"M'S NWT $399 STIO RAYMER HOODED JACKET SKI WINTER WATER/WIND PROOF LARGE 2415F19", $299.99, Available, Large, https://www.ebay.com/itm/MS-NWT-399-STIO-RAYMER-HOODED-JACKET-SKI-WINTER-WATER-WIND-PROOF-LARGE-2415F19/174320488022?hash=item28964f8e56:g:VmoAAOSw6JJe6q22
"🌲STIO HOMETOWN Jacket Women’s LARGE🌲", $250.00, Available, Large, https://www.ebay.com/itm/STIO-HOMETOWN-Jacket-Women-s-LARGE/283917971765?hash=item421ad47135:g:i6sAAOSwc1JeoKdM
"Womens Stio Azura Primaloft Jacket Coat Red M Medium Ski Hooded", $23.27, Available, Medium, https://www.ebay.com/itm/Womens-Stio-Azura-Primaloft-Jacket-Coat-Red-M-Medium-Ski-Hooded/313118829468?hash=item48e7562b9c:i:313118829468
"Youth Kids STIO Size 12 Windbreaker Jacket navy and gray EUC", $25.00, Available, Unknown, https://www.ebay.com/itm/Youth-Kids-STIO-Size-12-Windbreaker-Jacket-navy-and-gray-EUC/153974907596?hash=item23d99ea2cc:g:qsQAAOSwfZpeXTBj
"Youth Kids STIO Size 10 Windbreaker Jacket blue and gray EUC", $25.00, Available, Unknown, https://www.ebay.com/itm/Youth-Kids-STIO-Size-10-Windbreaker-Jacket-blue-and-gray-EUC/153974907603?hash=item23d99ea2d3:g:FMYAAOSwJrBeXS~S
"the Lawrence arms/Apathy and exha v stio n.2001 new vinyl.", $26.00, Available, Unknown, https://www.ebay.com/itm/the-Lawrence-arms-Apathy-and-exha-v-stio-n-2001-new-vinyl/274399995573?hash=item3fe383a6b5:g:OV0AAOSwYzVe6hFr
"STIO Beanie Hat w/Jackalope", $19.99, Available, Unknown, https://www.ebay.com/itm/STIO-Beanie-Hat-w-Jackalope/203023667127?hash=item2f45274fb7:g:-CMAAOSwFHteAFIx
"STIO WOMEN'S COTTON RED FLANNEL PLAID LONG SLEEVE BLOUSE, SIZE M", $35.00, Available, Unknown, https://www.ebay.com/itm/STIO-WOMENS-COTTON-RED-FLANNEL-PLAID-LONG-SLEEVE-BLOUSE-SIZE-M/264765763043?hash=item3da544ede3:g:ptAAAOSwjKNeb7Cf:sc:USPSFirstClass!94024!US!-1
"Stio Women Gray Long Sleeve Button-Down Shirt L", $25.99, Available, Unknown, https://www.ebay.com/itm/Stio-Women-Gray-Long-Sleeve-Button-Down-Shirt-L/293615372515?hash=item445cd708e3:g:r0MAAOSwuRpe6LsE
"1PC Window Background English Epidemic Prevention Propaganda Wall StiO_ES", $4.00, Available, Unknown, https://www.ebay.com/itm/1PC-Window-Background-English-Epidemic-Prevention-Propaganda-Wall-StiO-ES/233620904215?hash=item3664e41917:g:LXQAAOSwKWVejbJa
"Stio Women Pink 3/4 Sleeve Button-Down Shirt S", $26.99, Available, Unknown, https://www.ebay.com/itm/Stio-Women-Pink-3-4-Sleeve-Button-Down-Shirt-S/293614740680?hash=item445ccd64c8:g:lIUAAOSwCi5e6AXv
"Phoenix Contact Typ STIO-IN 2.5/3 Terminal Block 250V LOT OF 25", $64.99, Available, Unknown, https://www.ebay.com/itm/Phoenix-Contact-Typ-STIO-IN-2-5-3-Terminal-Block-250V-LOT-OF-25/303597150768?hash=item46afcce230:g:FFsAAOSwYE9e56l0:sc:USPSPriority!94024!US!-1
"Stio Women’s Pinedale Pant Size 6 Elmwood Khaki Tan Hiking", $99.97, Available, Unknown, https://www.ebay.com/itm/Stio-Women-s-Pinedale-Pant-Size-6-Elmwood-Khaki-Tan-Hiking/283915518029?hash=item421aaf004d:g:3coAAOSwX2tea45C
"Stacy Adams Mens Jace, Cognac, Size 9.5 StIO", $36.28, Available, Unknown, https://www.ebay.com/itm/Stacy-Adams-Mens-Jace-Cognac-Size-9-5-StIO/164242762389?hash=item263da1aa95:i:164242762389
"120pcs Round Thank you Self-Adhesive sticker Paper Labels Seal StiO bf", $3.11, Available, Unknown, https://www.ebay.com/itm/120pcs-Round-Thank-you-Self-Adhesive-sticker-Paper-Labels-Seal-StiO-bf/373081894545?hash=item56dd69ee91:g:Q0cAAOSwEkJdY4wB
"100pcs/lot Chinese fu Round Seal sticker For handmade baking products stiO bf", $3.13, Available, Unknown, https://www.ebay.com/itm/100pcs-lot-Chinese-fu-Round-Seal-sticker-For-handmade-baking-products-stiO-bf/392835777251?hash=item5b76d642e3:g:52QAAOSwhLRd4M2F
"Stio Womens Poplar Shirt Medium Blue Plaid Button Up Linen Blend Jackson Hole WY", $29.99, Available, Medium, https://www.ebay.com/itm/Stio-Womens-Poplar-Shirt-Medium-Blue-Plaid-Button-Up-Linen-Blend-Jackson-Hole-WY/293611441399?hash=item445c9b0cf7:g:2F8AAOSwhmle48At
"Stio Boys Blue Long Sleeve Button-Down Shirt 10", $25.99, Available, Unknown, https://www.ebay.com/itm/Stio-Boys-Blue-Long-Sleeve-Button-Down-Shirt-10/293610577225?hash=item445c8ddd49:g:ap4AAOSwmjZe4rgJ
"Stio Mens Medium Blue Plaid Short Sleeve Western Snap Down Shirt", $47.99, Available, Medium, https://www.ebay.com/itm/Stio-Mens-Medium-Blue-Plaid-Short-Sleeve-Western-Snap-Down-Shirt/203018738546?hash=item2f44dc1b72:g:ctMAAOSwvchdrH1k
