"title", price, sold, url
"  AVAILABLE STATS for Brand: five dancewear, Items Scanned: 18, Total Items (Including sponsored): 20 Value (Without sponsored): $841.11 ", , , 
"  SOLD STATS for Brand: five dancewear, Total Sold Items: 64, Value: $1945.89 ", , , 
"TOTAL VALUE OF AVAILABLE AND SOLD ITEMS: 2787.001111111111", , , 
"Five dancewear girls leotard navy, white , burgandy sz YXL. NWT", $42.99, Available, https://www.ebay.com/itm/Five-dancewear-girls-leotard-navy-white-burgandy-sz-YXL-NWT/193513896444?hash=item2d0e53b9fc:g:5IsAAOSwGytehM8z
"Five Dancewear Rebel Rib Crop SA", $20.50, Available, https://www.ebay.com/itm/Five-Dancewear-Rebel-Rib-Crop-SA/184326503474?hash=item2aeab73c32:g:-xkAAOSwafNe48gl
"Five DanceWear Cross Front Open Back Leotard Adult Small Teal and purple", $16.50, Available, https://www.ebay.com/itm/Five-DanceWear-Cross-Front-Open-Back-Leotard-Adult-Small-Teal-and-purple/133435250021?hash=item1f115c5565:g:TFQAAOSwURNe4UQc
"Five Dancewear- Girls Youth", $20.00, Available, https://www.ebay.com/itm/Five-Dancewear-Girls-Youth/124215055096?hash=item1cebcb52f8:g:nbwAAOSw549et1tC
"NWOT Five Dancewear Adult Small Dance Banded Booty Shorts Navy Green White", $9.99, Available, https://www.ebay.com/itm/NWOT-Five-Dancewear-Adult-Small-Dance-Banded-Booty-Shorts-Navy-Green-White/264733502228?hash=item3da358ab14:g:NHcAAOSwNWxewORN
"Five Dancewear Black Amore Leotard with Lace Size SA", $36.50, Available, https://www.ebay.com/itm/Five-Dancewear-Black-Amore-Leotard-with-Lace-Size-SA/124186930620?hash=item1cea1e2dbc:g:fGYAAOSwqA1evUv-
"EUC five dancewear leotard Large adult", $39.54, Available, https://www.ebay.com/itm/EUC-five-dancewear-leotard-Large-adult/274307124778?hash=item3fddfa8e2a:g:e4MAAOSw0XhebYB5
"Five Dancewear Rogue Suit Army Green Size SA", $55.00, Available, https://www.ebay.com/itm/Five-Dancewear-Rogue-Suit-Army-Green-Size-SA/274205305141?hash=item3fd7e8e935:g:M7UAAOSwbb5eHxwl
"NWT Five Dancewear Riviera Leo Black Youth Large YL Dance Leotard $72", $49.99, Available, https://www.ebay.com/itm/NWT-Five-Dancewear-Riviera-Leo-Black-Youth-Large-YL-Dance-Leotard-72/124035473790?hash=item1ce117217e:g:DJQAAOSwA5ReEq6c
"Five dancewear Geo Leo NWT, Adult M", $70.00, Available, https://www.ebay.com/itm/Five-dancewear-Geo-Leo-NWT-Adult-M/184074128245?hash=item2adbac4b75:g:COQAAOSwzO9d7EF4
"Five Dancewear Leotard YL New W/Tags", $60.00, Available, https://www.ebay.com/itm/Five-Dancewear-Leotard-YL-New-W-Tags/283698456512?hash=item420dbee7c0:g:fxoAAOSwBDdd5wZv
"Five Dancewear Pompeii Leotard, White, Sz CL", $50.00, Available, https://www.ebay.com/itm/Five-Dancewear-Pompeii-Leotard-White-Sz-CL/254391893151?hash=item3b3af03c9f:g:Uj8AAOSwKKZdqJGc
"Five Dancewear Leotard FAME LUXE LEO “WOMEN” Small Adult (fit My 11 Year Old)", $39.99, Available, https://www.ebay.com/itm/Five-Dancewear-Leotard-FAME-LUXE-LEO-WOMEN-Small-Adult-fit-My-11-Year-Old/274044460029?hash=item3fce529bfd:g:zP0AAOSwHwJdnU4l
"Five Dancewear Fame Leo Petite Adult in Blue/Peach", $55.00, Available, https://www.ebay.com/itm/Five-Dancewear-Fame-Leo-Petite-Adult-in-Blue-Peach/274038461430?hash=item3fcdf713f6:g:prsAAOSwx1Rdl3lp
"Five Dancewear Illusions Leotard Black NEW", $59.00, Available, https://www.ebay.com/itm/Five-Dancewear-Illusions-Leotard-Black-NEW/254372153446?hash=item3b39c30866:g:JfYAAOSwQtJdji6q
"EUC Five Dancewear Retired Hooded Crop Net Top Black Adult PA Dance", $34.00, Available, https://www.ebay.com/itm/EUC-Five-Dancewear-Retired-Hooded-Crop-Net-Top-Black-Adult-PA-Dance/264399783837?hash=item3d8f74879d:g:QeUAAOSwCg9dLWc7
"New Five Dancewear Retired Hooded Net Top Black Adult PM Dance", $43.00, Available, https://www.ebay.com/itm/New-Five-Dancewear-Retired-Hooded-Net-Top-Black-Adult-PM-Dance/264399779644?hash=item3d8f74773c:g:QeUAAOSwCg9dLWc7
"Five Dancewear Diamante Leo Large Adult in Black", $55.00, Available, https://www.ebay.com/itm/Five-Dancewear-Diamante-Leo-Large-Adult-in-Black/273913766066?hash=item3fc68860b2:g:NYQAAOSwB0xdG8eF
"five dancewear Medium Adult Black And White Knot Top", $16.50, Sold, https://www.ebay.com/itm/five-dancewear-Medium-Adult-Black-And-White-Knot-Top/254615549698?hash=item3b4844f702:g:z30AAOSwZtpe1tkd
"five dancewear black tank top cutout size youth large-Free Ship", $17.99, Sold, https://www.ebay.com/itm/five-dancewear-black-tank-top-cutout-size-youth-large-Free-Ship/264757167677?hash=item3da4c1c63d:g:mGEAAOSwqShe3gfc
"Five Dancewear- Girls Youth", $20.00, Sold, https://www.ebay.com/itm/Five-Dancewear-Girls-Youth/124206347219?hash=item1ceb4673d3:g:nbwAAOSw549et1tC
"Five Dancewear Girls Dance top Black short crop top Age 10-12yrs", $14.00, Sold, https://www.ebay.com/itm/Five-Dancewear-Girls-Dance-top-Black-short-crop-top-Age-10-12yrs/254610851810?hash=item3b47fd47e2:g:LhUAAOSwjTle0AEg
"Un used! Five Dancewear PA Red London Leotard", $43.00, Sold, https://www.ebay.com/itm/Un-used-Five-Dancewear-PA-Red-London-Leotard/124202491021?hash=item1ceb0b9c8d:g:51gAAOSwb05evFip
"Five dancewear girls leotard navy, white , burgandy sz YXL. NWT", $42.99, Sold, https://www.ebay.com/itm/Five-dancewear-girls-leotard-navy-white-burgandy-sz-YXL-NWT/193484539099?hash=item2d0c93c4db:g:5IsAAOSwGytehM8z
"Five Dancewear Allie leo (YL) - BRAND NEW - Never Opened - With Tags", $55.00, Sold, https://www.ebay.com/itm/Five-Dancewear-Allie-leo-YL-BRAND-NEW-Never-Opened-With-Tags/114239289949?hash=item1a99313a5d:g:ASEAAOSwKJxewbE5
"Five Dancewear- Girls Youth", $23.50, Sold, https://www.ebay.com/itm/Five-Dancewear-Girls-Youth/124198054113?hash=item1ceac7e8e1:g:nbwAAOSw549et1tC
