"title","price","url"
"STATS PAGE Num 84 --> Brand: Lululemon, Total Items: 16904, Total Value: $719178.87 ","",""
"LULULEMON WOMEN'S BLACK PLEATED SKIRT / SKORT SIZE 4","$39.99","https://www.ebay.com/itm/LULULEMON-WOMENS-BLACK-PLEATED-SKIRT-SKORT-SIZE-4/224040498509?hash=item3429dab54d:g:P68AAOSwLsJe4Gx0"
"Lululemon Athletica Size 38 Black Gray Plaid Mens Shorts","$24.99","https://www.ebay.com/itm/Lululemon-Athletica-Size-38-Black-Gray-Plaid-Mens-Shorts/373079270918?hash=item56dd41e606:g:o3wAAOSw1LJeu4Dw"
"LULULEMON WOMEN’S WORKOUT PANTS SZ 10","$19.00","https://www.ebay.com/itm/LULULEMON-WOMEN-S-WORKOUT-PANTS-SZ-10/184323517629?hash=item2aea89acbd&_trkparms=ispr%3D1&enc=AQAEAAADMFsirguxo6JX%2BfgiD67xua7Be9HtSWwHJuSHSJlIK0XlDrUdgdWJXfqyHbI%2FM90buYkN5YFHVkXQtCJJR0%2BQHASsF1X2Q5bCZ0bO1RaJAPBBCgk6V1JOEn%2Fx%2B%2BcogwhSjef3SOM9o1436tS%2BHGeEk5v24PKg0G0bYT8QNypGFhzoY4HhNwUN6nYyts%2FeoOIJB5pCaSSf05o3DYZ8bimWfXDeP%2FCSHrgjkprWQrjVRgsUK48wGpuA9ldV9JtHip5MPZ06ex91wpzyB03GBUbOsXr9Q7RWZ7UhdmBL0P7xeoBybx0uc9Tuw%2FqeLYVofNrlCd64SmJZY%2Bb15TKmSWz8iEXTgSw%2FfQjB4TiUE0vtU1MBlxQOkblVZsr%2FeuUow6Sm7Afp2PMg3o5Hn7pZrlwrq2DTYND1gH8C5NGRssgN%2FjSUvckbc0hCm8Uub1pJG9SOmdORcv39FcmSwshI%2FwgdX0QzhNeoayJK8R1V5X%2FGVyiYhjmBwUA%2FLXqCHpmQwnBFu%2BcVJyPPHZcnYKgb2xfYPz%2FXAaH5S0JPd1Yu5rCUH%2F4tCSiJS2ntDHuEiAguvL4zMkv9%2Burniqx37Nv8Ju8zx9Gx%2BuaUeM4q1jXuXfTwNEg5MKK3S6wrSJXdsqrBFvZ0eEHDytBOuOqle9lfreMEAYlyTSBM1bLavE40ZaPgRrNW39xGu5jxilDGDHKBiP09BVEVc3nifHy34f8YN4635JoVtnYb4EZFnf4n66%2Bs0uRSCaEgfDXLLwArbzW5buh9W8xdO61oWNKsgJqvUQIw0XSYi1sEIm5qVoHqgjfvcfTt8B5gP6Az1iTzMtWDi9dquL5TtmZlJJGjRhPBiGNDalyqcvnVpk7E7dTPnaFim%2BPWVjkvHxToSSzdk73QciFsMIDpMv4BP%2FJS5l3vXcUHIbbUGdzgtYtld9%2FAKhf7Hqqlt0VGcINF4DjIII1k8drOLWRyYdlDqxuf2eMLDPWJFIAgXDhv9AzT%2ByxnChmjH%2FLneNbVi4KY%2FPnOJXLXzYsJMOrfutBLmVaQqtEpYD5yoHJpwzark%2Fpsxgzoj96Zkv4wEhwekwxAmXZsLy%2BTEYbkaQ%3D%3D&checksum=1843235176290e3229109d8c4b5f8ae0bfc910668a24"
"Lululemon Speed Tight II Full Luxtreme Blue Camo 4","$58.00","https://www.ebay.com/itm/Lululemon-Speed-Tight-II-Full-Luxtreme-Blue-Camo-4/402290519431?hash=item5daa622d87&_trkparms=ispr%3D1&enc=AQAEAAADQCBHfCxLqvTim8Lxm9gsbQUdKmu6dO5sHU6iKVIjxPFXltovDbVObyZi1DeqJ941GkF%2Bedyk%2BALO0KUk1iqQta4geHtW01CdDi%2BgJEJ0BreuH9vYWwnrY%2FPJev7ooI0pgmSMgZbnLear9Xmiy3kZmK8YW3sV2ITlcb8STwXH1YrDKbD%2BOSIpAizUouX8KWel7DSu5F176UAsBoDA1MH%2B7jMyuSBy8igf61J3ylk40fx4MLIQlo8SSIkhv%2FfTMq6bhDFvJETIf8gdioeX75Xx3Jnz%2F22Xms%2BIpj1S2wi%2BY%2FGB8IVPbF5lDORdx78N3zb5a0Eo%2FDj%2Bg9EWmXZ3IV6iAY%2FY1AsIJyrpe4clPy2u%2B%2BquPX%2Bc7UlhGpwDxbQSzGGDVxr3FJLPDd1QVsCsWq0ZjkOAlhHXYnjP%2FyEAqjLxZFtrNV0Ja6jcls7dTAq7lA49DE3MApIyVMICayfxY7VZdJrE2qxbv3wmKgo8N%2FJn6UJNDgbNxdhYCEgW8dnOiXAWeFyaNh%2BBN88Jb1zQphhTU5ImdFeLF28HpGBoDatrC%2Bc9GUpuqkdXpLs%2BltoGnkjSF4aCS3%2BqZOpthPanoF7gbqJysTKy7HIGc25nDOcUGinvx%2BUMQ8A67%2BRrNw1BfO3zBuX7mBAmhdo95AHbEIvFSdMxcmQsNpYAfSlMFiRZ8vYpA%2Fynomku594PrzNND%2FArFNCxchdGyoS%2B0A3paykGoqrrxprVVBPjzUXoLgaTIzrxXR7N00HhBFeX56zVEtqNF12RajHjB0gZBUDz%2FzIavrDK8RRup%2F0JLrRdT%2FfR4uZzBuxDgdZYaKlP2k8ursXrcsm3ENoNidpLCLJYG7p4rw%2BSbnnO8e%2FvzY%2FHC6v3mOp%2BSbnwHmzFJoOs9VIKO19utcRzFOsEnk33%2FATpVb3ifpa8bF%2FKn%2FOfzZdDGQLJNXRlxJApBHL%2B3bK2iSqQPKOfk8N03ZQwwmq9YDU%2F%2BO%2BqxLNjb76Fdojkr2zKrjd6UsLqiQkZMSBcY3LIGaGKuJ8Lj4SD5jqBMi%2FvrIpjoTx5aaJSY5zCBXNC1ijnC4PDFI8AxJWCoRfH2P4SxiU70A1zI7Ep9N5VLeexpwjadCPZ938%3D&checksum=40229051943112fc4277b24844b9966955b7bb4cb436"
"EUC Lululemon Yoga Cross Racer Back Sports Bra Workout Size 8","$34.00","https://www.ebay.com/itm/EUC-Lululemon-Yoga-Cross-Racer-Back-Sports-Bra-Workout-Size-8/224040498114?hash=item3429dab3c2:g:j4EAAOSwFdRe4HIz"
"Lululemon High Rise Leggings size 4","$40.00","https://www.ebay.com/itm/Lululemon-High-Rise-Leggings-size-4/233614925058?hash=item366488dd02:g:SNAAAOSwwjVe4HJP"
"Lululemon Women’s Soul Cycle San Francisco High Waist Crop Legging 6","$75.00","https://www.ebay.com/itm/Lululemon-Women-s-Soul-Cycle-San-Francisco-High-Waist-Crop-Legging-6/264759087491?hash=item3da4df1183:g:QbAAAOSwku9e4DRx"
"Lululemon Short Sleeve Swiftly Jewelled Magenta Sz.4 Can EUC","$27.95","https://www.ebay.com/itm/Lululemon-Short-Sleeve-Swiftly-Jewelled-Magenta-Sz-4-Can-EUC/224040497203?hash=item3429dab033:g:3qcAAOSwmExe4HIs"
"lululemon Sports Bra 4 floral pattern blue pink black strappy cute back","$25.00","https://www.ebay.com/itm/lululemon-Sports-Bra-4-floral-pattern-blue-pink-black-strappy-cute-back/392832496496?hash=item5b76a43370:g:OL0AAOSwLr9exMDC"
