"STATS PAGE Num 1 --> Brand: porsch, Total Items: 11, Total Value: $527845.75 " 
"title", price, url
"2020 Porsche Macan", $57760.00, https://www.ebay.com/itm/2020-Porsche-Macan/193509748360?hash=item2d0e146e88:g:pgcAAOSwbuJehAHe
"2014 Porsche 911 GT3", $104991.00, https://www.ebay.com/itm/2014-Porsche-911-GT3/193508337303?hash=item2d0dfee697:g:VCUAAOSwpSleg~Zt
"Porsch Design P8185 Gunmetal Titanium Rectangle Sunglasses Japan FRAMES ONLY", $42.90, https://www.ebay.com/itm/Porsch-Design-P8185-Gunmetal-Titanium-Rectangle-Sunglasses-Japan-FRAMES-ONLY/313067193266?hash=item48e44243b2&_trkparms=ispr%3D1&amdata=enc%3DAQAEAAADUIEz1qRFuhwyLJMuxi%252FgmaEnyPVpDQJI3TPNqoayXsCFhS7t1MICPBHNkshffMGVpO6PZ5HVt%252BIdEdedcZlUDEDTD5IRZiB1Y0tq8%252BtrZphE2w2I9eMOXjypo4HflmAKEuu1zoU9sGyf%252BbGwAqhCYoSz86J8msjoQPg8gm%252BnEGsksPEvZ424WKnMU1Qbk4MpB8sgnaxsp8zxOCr2cY7hpWlg%252Bg8GJrDScM%252BVyXO3jPKXlpU8tWrdywvCdmp6S7IY3A2WmRwvMU56jpbRCJh%252BJpaMgzBkzlbE12yT8BxsJTovPfFcsmGBKnwG8ufPcyHtn0a7TLJ9cUrZkNgUY4iYJDVCmVhhu0t3atSfszS1B1bgoquLwI16bmkgirNlJ8ireC0scBkibMEtAg3hG63C48l9Pjctee9qZY8iVhO7I4mt48lpJ3IrMMI9GlLM8QIQHGxdobc73i3h4SZb2DbgrIsRrU%252Bx1yuKQMEPY5BSNCapqS5xNion%252BmXa8PfogkjCLRzVFEHFOjVMmYyAg37kWWXrNmdzfFpH8IXPyT8epVmTBHx7zzpFFXzF1l5KmsEL5QuA9N1Qago2yIwvXm5rQxfIfvm8jLco0owzR8ChAB%252FDK8Oeic9rVRgBgmpPwOcMn%252BE4Q9q3JBCeSOkkL2YO7Vw9sxPInAq3RVrkulerBNHyCTyW5BWNNzAJ7DnzK6ARSr7y7oZKBWSXCKWUlvxlcoNkQXezdQV0GcR%252Bj6C10CKTJtbBd1jE6eRYbJ6i%252F6F%252B69zW8HlkJgdH0hXMDXbrErWIeCbv4vWXJ4dKHMgT%252B3OPVirMMIH1h1aSmthCj2D1r1cJ0hYpWEf82T50Iu2fOhQW7YjTgHEL5jtN5zSTjotC%252F3IaGefwsbOxo6vKGshphwv4KJgiAE2RGu7hc78ziffnLzGuF8P3BmG26tXkSaF%252BXiPdc7nDkU4JuLEaYZBBDzxAJwdkpc%252BunEhnu1i498qZMTmzq5cwjmEVBFRWZEf0jZ8UID8838EO%252FpjZ7zSL%252BJfhbCfXvNjodJ3rI4RED1GtJbd18V6%252BbFNZIzASQB%252BwJu6N5cnKIfKCatHpKZyQe0ksveZi1V1XX6IQd4f28xrUFhdGN%252BKLw7ZQ%252BzHJGmVB%26cksum%3D313067193266db62b1b753e54ca194faab4a17e1f409%26ampid%3DPL_CLK
"NWOT PORSCHE MAY THE PORSCH BE WITH YOU BLACK SMALL T-SHIRT C1667", $24.95, https://www.ebay.com/itm/NWOT-PORSCHE-MAY-THE-PORSCH-BE-WITH-YOU-BLACK-SMALL-T-SHIRT-C1667/174075404696?hash=item2887b3e198&_trkparms=ispr%3D1&amdata=enc%3DAQAEAAADYBPfnYDNDheCpruSIsdcLjblh%252FkAJVY08phbzP55qxaZF0dBE2Ymw5tipdW6ClRDWNqLByguFtTbuVu4gWR8MD30Bg8zUU07uLlRo0CtO2Y1BoeMrwOHM7akFsMGgmNgb256MQd0I2NPZpeJ1OrTIzbbseX9LNLkWzkW10ClrtjNC3ILKdiXec4H%252BLKd7d0sResrP%252BzpFL2ziu0aSa5N0jnlz2%252BSRUcPNMnZwJH25Xoz1sqEUBRZH6z8DdLW4xvzOOGHv%252BlL88iq39jxwutj38qJK%252Fq7kJwHz0MEpfqcsWJUhIAys%252ByaGzzoyIZvdeSOlIjB33qoThPMtINCIItMwyiNuxjQ1wEpbGNuym1Dah4JwXk4h6qwpedtjCUiIXE4oXswk4dzB8%252FYpAUZ6hH2PR3xxeqpomnpixt1rqgzXwOG5KskdwZHf7xzoDlO9rDvQfsCbTpIk4vQDOwjAS0RB3wCpOWAfpfA2pCN%252FZddnkUKGv8BBlTVL4%252Bhlp1fN582fqYJ%252B4dnNAkV2pPPqPsBKT0U8Loxn0NoZZLCNLyyh9odCaKSi%252BIf6sIt6mDF47FQmH0J0mpGmCqnIqdfqdxYalurv8tjnl0XPd%252FVdRAaAwajTjIq5zAhA3NJwJUImeZSsUzhA2YmXHybynOST4YGcOyJFOWyDhKp%252FDVgiM7rcD%252Bm94MN5ms5s9S0FUcBkbGpdt6nPrqTIt65ZgsjQptMxYGqXUCl%252B4%252BPJy6Qbh99MN22trsAtkrVelTpQSQwTAAqQ5PlXb3xgFOPqIwJsdosLBkXlqLPH9Fj%252BzPWXwPMBJstxKyvFVlr6uyyn0P0n0zSK%252FFFGfTOuB9pMsq3PmVVsq7HozwkaOP13ITJ9pZ44fQ8gACHEg2MAxSOdc0AC820hi89FnihZjGvJS1HP5LYnurFL%252B6rOcf22z75WnqD7%252BIkwuYcdcGai0aG8enzkfCgb%252BLPcXXROvwakDrWQfUG5mBUlT3tAUYYJUemGIBDxmY%252B6LwFuXmohrNY0s%252B1XXd2%252FUY3ZDyrtNCYSkTVfwmSbf2D%252B4tjB8no5l6d3oljgG55zOreKhxm9pj5YHwyPVBU0peujo20S8Wn2VcPXLT4AfW9W%252BLYK8Th0UAHPrbIrf%252BfQUGaxkx%252FXncML0BzEZxlDA%253D%253D%26cksum%3D1740754046962a69b7b1f1b84ff9ad27bdc5cd2cf66a%26ampid%3DPL_CLK
"2017 Porsche Macan GTS", $50703.00, https://www.ebay.com/itm/2017-Porsche-Macan-GTS/184322074445?hash=item2aea73a74d:g:9s0AAOSwDFxe4anR
"2017 Porsche Macan GTS", $15100.00 $49898.00, https://www.ebay.com/itm/2017-Porsche-Macan-GTS/224038663648?hash=item3429beb5e0:g:NJ0AAOSw6~de2l0v
"2014 Porsche 911 GT3", $119221.00, https://www.ebay.com/itm/2014-Porsche-911-GT3/203010697198?hash=item2f446167ee:g:8fIAAOSwUCBelSXN
"2017 Porsche 911 Turbo", $123999.00, https://www.ebay.com/itm/2017-Porsche-911-Turbo/193490750069?hash=item2d0cf28a75:g:2dcAAOSwWxle1CvS
"2017 Porsche Macan GTS", $55978.00, https://www.ebay.com/itm/2017-Porsche-Macan-GTS/184297219090?hash=item2ae8f86412:g:IwIAAOSw~~Re4anw
