"title", price, url
" >>> $1437688.00", , 
"2013 Porsche 911 Turbo S Cabriolet PDK", $114900.00, https://www.ebay.com/itm/2013-Porsche-911-Turbo-S-Cabriolet-PDK/184323624973?hash=item2aea8b500d:g:UiAAAOSwGAVeyQ9z
"2017 Porsche 911 Turbo S Cabriolet MSRP $207k+ Carbon Fiber", $159800.00, https://www.ebay.com/itm/2017-Porsche-911-Turbo-S-Cabriolet-MSRP-207k-Carbon-Fiber/153965629632?hash=item23d91110c0:g:-QkAAOSwCMxe0MQa
"2016 Porsche 911 TURBO", $104900.00, https://www.ebay.com/itm/2016-Porsche-911-TURBO/324192350784?hash=item4b7b5eb240:g:ByEAAOSwM6heing8
"2019 Porsche 911 Turbo S Cabriolet 2D", $265000.00, https://www.ebay.com/itm/2019-Porsche-911-Turbo-S-Cabriolet-2D/264756820241?hash=item3da4bc7911:g:0FcAAOSwQVFeu5S5
"2016 Porsche 911 Turbo S", $109800.00 $119800.00, https://www.ebay.com/itm/2016-Porsche-911-Turbo-S/133429855316?hash=item1f110a0454:g:zHwAAOSwz~he2XjX
"2018 Porsche 911 911 Turbo S Cabriolet", $162900.00, https://www.ebay.com/itm/2018-Porsche-911-911-Turbo-S-Cabriolet/233607963358?hash=item36641ea2de:g:th8AAOSwLrle1wXw
"2019 Porsche 911 Turbo S Cabriolet", $186888.00, https://www.ebay.com/itm/2019-Porsche-911-Turbo-S-Cabriolet/283900112814?hash=item4219c3efae:g:XOAAAOSwT5RduGxf
"2017 Porsche 911 Turbo S Cabriolet", $165000.00, https://www.ebay.com/itm/2017-Porsche-911-Turbo-S-Cabriolet/124145681476?hash=item1ce7a8c444:g:ijcAAOSwKfZeMgbZ
"2018 Porsche 911", $168500.00, https://www.ebay.com/itm/2018-Porsche-911/164153089739?hash=item2638495ecb:g:PDUAAOSwiYlei33x
