"title", source, price, sold, size, url
  EBAY AVAILABLE STATS for Brand: stio   Items Scanned: 360   Total Items (Including sponsored): 374   Value (Without sponsored): $16874.25 
  EBAY SOLD STATS for Brand: stio   Total Sold Items: 290   Value: $14716.15 
  POSHMARK AVAILABLE STATS for Brand: stio   Items Scanned: 114   Total Value: $7881.00 
  POSHMARK SOLD STATS for Brand: stio   Items Scanned: 622   Total Value: $31697.00 
  THREDUP AVAILABLE STATS for Brand: stio   Items Scanned: 12   Value (Without sponsored): $233.88 
  Number of xsmall  small  medium  large  xlarge  unknown: 59  233  266  195  105  540
  TOTAL VALUE OF AVAILABLE AND SOLD ITEMS ON ALL SITES: $71402.27627777774
"STIO Jackson Hole 2017 Solar Eclipse commemorative Trucker's Hat Cap New! Rare!", eBay, $20.00, Available, Unknown, https://www.ebay.com/itm/STIO-Jackson-Hole-2017-Solar-Eclipse-commemorative-Truckers-Hat-Cap-New-Rare/254638526710?hash=item3b49a390f6:g:smcAAOSwCxBe-YHz
"NWT Stio Sweetwater Fleece Full Zip Sweater Poncho Jacket Sweater Gray M/L $179", eBay, $39.99, Available, Unknown, https://www.ebay.com/itm/NWT-Stio-Sweetwater-Fleece-Full-Zip-Sweater-Poncho-Jacket-Sweater-Gray-M-L-179/114281386264?hash=item1a9bb39118:g:D84AAOSwTx1exxhH
"2019 Topps Allen & Ginter Vincent Stio Card #156 Umpire Fan", eBay, $1.00, Available, Unknown, https://www.ebay.com/itm/2019-Topps-Allen-Ginter-Vincent-Stio-Card-156-Umpire-Fan/153987083846?hash=item23da586e46:g:i8QAAOSw4YZe-Re-
"Women's STIO Down Vest  Size S  Free Ship", eBay, $63.00, Available, Unknown, https://www.ebay.com/itm/Womens-STIO-Down-Vest-Size-S-Free-Ship/224061266283?hash=item342b17996b:g:4ZgAAOSwiYleXZ40
"Stio NWT Mens XL Brilliant Blue Polyester Long Sleeve Hiking Button Front Shirt", eBay, $44.99, Available, XLarge, https://www.ebay.com/itm/Stio-NWT-Mens-XL-Brilliant-Blue-Polyester-Long-Sleeve-Hiking-Button-Front-Shirt/224060945546?hash=item342b12b48a:g:ekAAAOSwnXde-LCE
"Stio Ladies Pants Size 8", eBay, $15.99, Available, Unknown, https://www.ebay.com/itm/Stio-Ladies-Pants-Size-8/184344512201?hash=item2aebca06c9:g:n9UAAOSwgopeynXA
