"title", price, sold, size, url
  AVAILABLE STATS for Brand: john galt   Items Scanned: 33   Value (Without sponsored): $432.67 
  SOLD STATS for Brand: john galt   Items Scanned: 5040   Total Value: $86013.00 
  Number of xsmall, small, medium, large, xlarge, unknown: 733, 7876, 811, 122, 17, 2234
  TOTAL VALUE OF AVAILABLE AND SOLD ITEMS: $86445.67
"Zip Up Hoodie", $17.99, Available, Zip Up Hoodie, https://thredup.com/product/women-john-galt-gray-zip-up-hoodie/76865590
"Long Sleeve Henley", $18.99, Available, Long Sleeve Henley, https://thredup.com/product/women-john-galt-gray-long-sleeve-henley/76656823
"Size Sm", $11.99, Available, Size Sm, https://thredup.com/product/women-cotton-john-galt-blue-casual-skirt/76598145
"Long Sleeve Top", $12.99, Available, Long Sleeve Top, https://thredup.com/product/women-rayon-john-galt-gray-long-sleeve-top/76498958
"Size Sm", $11.99, Available, Size Sm, https://thredup.com/product/women-john-galt-white-long-sleeve-t-shirt/76479222
"Casual Pants", $16.99, Available, Casual Pants, https://thredup.com/product/women-cotton-john-galt-brown-casual-pants/76458263
"Long Sleeve Top", $11.99, Available, Long Sleeve Top, https://thredup.com/product/women-john-galt-green-long-sleeve-top/76497962
"Long Sleeve Henley", $17.99, Available, Long Sleeve Henley, https://thredup.com/product/women-john-galt-maroon-long-sleeve-henley/76342081
"Size Sm", $5.99, Available, Size Sm, https://thredup.com/product/women-cotton-john-galt-black-thermal-top/76367888
"Size Med", $8.99, Available, Size Med, https://thredup.com/product/women-cotton-john-galt-black-tank-top/76280303
"Casual Skirt", $12.99, Available, Casual Skirt, https://thredup.com/product/women-rayon-john-galt-pink-casual-skirt/76262170
"Size Lg", $11.99, Available, Size Lg, https://thredup.com/product/women-cotton-john-galt-blue-long-sleeve-t-shirt/76291475
"Pullover Hoodie", $16.99, Available, Pullover Hoodie, https://thredup.com/product/women-cotton-john-galt-black-pullover-hoodie/76116888
"Casual Skirt", $9.99, Available, Casual Skirt, https://thredup.com/product/women-polyester-john-galt-black-casual-skirt/76136208
"Size Sm", $13.99, Available, Size Sm, https://thredup.com/product/women-cotton-john-galt-gray-long-sleeve-henley/76052094
"Tank Top", $11.99, Available, Tank Top, https://thredup.com/product/women-modal-john-galt-black-tank-top/75840886
"Long Sleeve Henley", $17.99, Available, Long Sleeve Henley, https://thredup.com/product/women-cotton-john-galt-gray-long-sleeve-henley/75733061
"3/4 Sleeve T-Shirt", $11.99, Available, 3/4 Sleeve T-Shirt, https://thredup.com/product/women-cotton-john-galt-gray-34-sleeve-t-shirt/75705277
"Size Sm", $10.99, Available, Size Sm, https://thredup.com/product/women-cotton-john-galt-red-short-sleeve-t-shirt/75683303
"Size Med", $13.99, Available, Size Med, https://thredup.com/product/women-cotton-john-galt-tan-long-sleeve-t-shirt/75501155
"Size Sm", $11.99, Available, Size Sm, https://thredup.com/product/women-john-galt-white-long-sleeve-t-shirt/75456319
"Casual Dress", $15.99, Available, Casual Dress, https://thredup.com/product/women-polyester-john-galt-grey-casual-dress/74961260
"Size Sm", $11.99, Available, Size Sm, https://thredup.com/product/women-cotton-john-galt-burgundy-short-sleeve-t-shirt/74532156
"Short Sleeve Blouse", $13.99, Available, Short Sleeve Blouse, https://thredup.com/product/women-john-galt-tan-short-sleeve-blouse/74185244
"Short Sleeve Top", $9.99, Available, Short Sleeve Top, https://thredup.com/product/women-viscose-john-galt-black-short-sleeve-top/73846983
"Sleeveless Blouse", $11.99, Available, Sleeveless Blouse, https://thredup.com/product/women-rayon-john-galt-black-sleeveless-blouse/71897997
"Sweatshirt", $9.99, Available, Sweatshirt, https://thredup.com/product/women-cotton-john-galt-purple-sweatshirt/71827961
"Short Sleeve T-Shirt", $10.99, Available, Short Sleeve T-Shirt, https://thredup.com/product/women-john-galt-black-short-sleeve-t-shirt/71409650
"Size 0X Plus", $15.99, Available, Size 0X Plus, https://thredup.com/product/women-cotton-john-galt-white-pullover-sweater/71774305
"Pullover Sweater", $12.99, Available, Pullover Sweater, https://thredup.com/product/women-polyester-john-galt-tan-pullover-sweater/70377975
"Pullover Sweater", $12.99, Available, Pullover Sweater, https://thredup.com/product/women-cotton-john-galt-gray-pullover-sweater/69705763
"3/4 Sleeve Blouse", $13.99, Available, 3/4 Sleeve Blouse, https://thredup.com/product/women-cotton-john-galt-blue-34-sleeve-blouse/69513370
"Size 0", $10.99, Available, Size 0, https://thredup.com/product/women-cotton-john-galt-red-pullover-hoodie/69082880
