"title", price, sold, url
  AVAILABLE STATS for Brand: pacsun   Items Scanned: 139   Value (Without sponsored): $2290.61 
"Size 27 waist", $16.99, Available, https://thredup.com/product/women-cotton-pacsun-brown-jeggings/76394977
"Size 23 waist", $20.99, Available, https://thredup.com/product/women-cotton-pacsun-blue-jeans/76341773
"Size 28 waist", $17.99, Available, https://thredup.com/product/women-cotton-pacsun-blue-denim-skirt/76304109
"Size 24 waist", $17.99, Available, https://thredup.com/product/women-cotton-pacsun-blue-jeans/76278804
"Size 25 waist", $21.99, Available, https://thredup.com/product/women-cotton-pacsun-black-jeans/76288615
"Size 28 waist", $16.99, Available, https://thredup.com/product/women-cotton-pacsun-black-denim-shorts/76241625
"Size 25 waist", $21.99, Available, https://thredup.com/product/women-cotton-pacsun-black-jeans/76283775
"Size 26 waist", $18.99, Available, https://thredup.com/product/women-cotton-pacsun-blue-jeans/76316918
"Size 24 waist", $21.99, Available, https://thredup.com/product/women-cotton-pacsun-blue-jeans/76196227
"Size 26 waist", $17.99, Available, https://thredup.com/product/women-cotton-pacsun-blue-jeans/76280833
"Size 28 waist", $21.99, Available, https://thredup.com/product/women-cotton-pacsun-maroon-jeans/76266523
"Size 30 waist", $18.99, Available, https://thredup.com/product/women-pacsun-black-jeans/76356590
"Size 25 waist", $20.99, Available, https://thredup.com/product/women-cotton-pacsun-blue-jeans/76262208
"Size 25 waist", $15.99, Available, https://thredup.com/product/women-cotton-pacsun-blue-denim-skirt/76251070
"Size 7", $19.99, Available, https://thredup.com/product/women-pacsun-tan-sandals/76224221
"Size 26 waist", $16.99, Available, https://thredup.com/product/women-cotton-pacsun-white-denim-skirt/76213863
"Size 25 waist", $39.99, Available, https://thredup.com/product/women-cotton-pacsun-blue-jeans/76128657
"Size 28 waist", $17.99, Available, https://thredup.com/product/women-cotton-pacsun-blue-denim-skirt/76145727
"Size 26 waist", $13.99, Available, https://thredup.com/product/women-cotton-pacsun-gray-jeggings/76165071
"Size 26 waist", $21.99, Available, https://thredup.com/product/women-cotton-pacsun-blue-jeans/76146370
"Size 28 waist", $16.99, Available, https://thredup.com/product/women-cotton-pacsun-blue-jeggings/76087864
"Size 24 waist", $18.99, Available, https://thredup.com/product/women-cotton-pacsun-gray-jeans/76104114
"Size 24 waist", $19.99, Available, https://thredup.com/product/women-cotton-pacsun-blue-jeans/76104082
"Size 24 waist", $21.99, Available, https://thredup.com/product/women-cotton-pacsun-blue-jeans/76104058
"Size 25 waist", $21.99, Available, https://thredup.com/product/women-cotton-pacsun-blue-jeans/76102730
"Size 23 waist", $14.99, Available, https://thredup.com/product/women-cotton-pacsun-blue-denim-shorts/76058745
"Size 24 waist", $21.99, Available, https://thredup.com/product/women-cotton-pacsun-blue-jeans/76085976
"Size 27 waist", $40.99, Available, https://thredup.com/product/women-cotton-pacsun-blue-jeans/76023420
"Size Med", $16.99, Available, https://thredup.com/product/women-rayon-pacsun-pink-short-sleeve-top/76012256
