"title", price, sold, size, url
  AVAILABLE STATS for Brand: stio   Items Scanned: 11   Value (Without sponsored): $205.89 
  SOLD STATS for Brand: stio   Items Scanned: 620   Total Value: $31568.00 
  Number of xsmall, small, medium, large, xlarge, unknown: 46, 234, 267, 197, 53, 604
  TOTAL VALUE OF AVAILABLE AND SOLD ITEMS: $31773.89
"Size 29 waist", $13.99, Available, Size 29 waist, https://thredup.com/product/women-shio-blue-jeans/76646682
"Size Med", $13.99, Available, Size Med, https://thredup.com/product/women-polyester-cherry-stix-pink-casual-dress/76512858
"Size XL", $50.99, Available, Size XL, https://thredup.com/product/women-polyester-stio-black-short-sleeve-t-shirt/75996981
"Size 30 waist", $12.99, Available, Size 30 waist, https://thredup.com/product/women-shio-blue-jeans/75715181
"Size Med", $8.99, Available, Size Med, https://thredup.com/product/women-acrylic-cherry-stix-maroon-pullover-sweater/75155407
"Size Lg", $22.99, Available, Size Lg, https://thredup.com/product/women-cotton-stio-gray-long-sleeve-button-down-shirt/74834956
"Size Sm", $23.99, Available, Size Sm, https://thredup.com/product/women-polyester-stio-pink-34-sleeve-button-down-shirt/71323063
"Size Med", $25.99, Available, Size Med, https://thredup.com/product/women-polyester-stio-blue-long-sleeve-button-down-shirt/69147241
"Size 27 waist", $9.99, Available, Size 27 waist, https://thredup.com/product/women-cotton-shio-blue-jeans/67745647
"Size 25 waist", $9.99, Available, Size 25 waist, https://thredup.com/product/women-cotton-shio-black-jeans/66777229
"Size 27 waist", $11.99, Available, Size 27 waist, https://thredup.com/product/women-shio-grey-jeans/64225034
